Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55668,0.049894,0.0,0.950106,
0.6,T,0.1,0.1,0.8,1,0.2,F,49509,0.0732695,0.0129875,0.913743,
0.6,T,0.1,0.1,0.8,2,0.2,F,46746,0.0990031,0.0230501,0.877947,
0.6,T,0.1,0.1,0.8,3,0.2,F,45310,0.135533,0.0346171,0.82985,
0.6,T,0.1,0.1,0.8,4,0.2,F,43069,0.180466,0.0446261,0.774908,
0.6,T,0.1,0.1,0.8,5,0.2,F,40118,0.234197,0.0595618,0.706242,
0.6,T,0.1,0.1,0.8,6,0.2,F,36754,0.303654,0.073339,0.623007,
0.6,T,0.1,0.1,0.8,7,0.2,F,33217,0.377232,0.0889304,0.533838,
0.6,T,0.1,0.1,0.8,8,0.2,F,28291,0.456647,0.102577,0.440776,
0.6,T,0.1,0.1,0.8,9,0.2,F,23376,0.538266,0.116551,0.345183,
0.6,T,0.1,0.1,0.8,10,0.2,F,17588,0.614851,0.121475,0.263674,
0.6,T,0.1,0.1,0.8,11,0.2,F,12670,0.681413,0.126401,0.192186,
0.6,T,0.1,0.1,0.8,12,0.2,F,8702,0.73621,0.129798,0.133992,
0.6,T,0.1,0.1,0.8,13,0.2,F,4680,0.773611,0.130235,0.0961538,
0.6,T,0.1,0.1,0.8,14,0.2,F,2538,0.77699,0.131403,0.0916076,
0.6,T,0.1,0.1,0.8,15,0.2,F,1606,0.776775,0.123599,0.0996264,
0.6,T,0.1,0.1,0.8,16,0.2,F,1029,0.789116,0.138484,0.0724004,
0.6,T,0.1,0.1,0.8,17,0.2,F,503,0.742545,0.17495,0.082505,
0.6,T,0.1,0.1,0.8,18,0.2,F,286,0.648601,0.227273,0.124126,
0.6,T,0.1,0.1,0.8,19,0.2,F,179,0.77095,0.170391,0.0586592,
0.6,T,0.1,0.1,0.8,20,0.2,F,61,0.877049,0.00819672,0.114754,
0.6,T,0.1,0.1,0.8,21,0.2,F,83,0.861446,0.0783133,0.060241,
0.6,T,0.1,0.1,0.8,22,0.2,F,72,0.784722,0.201389,0.0138889,
0.6,T,0.1,0.1,0.8,23,0.2,F,17,0.911765,0.0882353,0.0,1
