Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55864,0.049719,0.0,0.950281,
0.6,T,0.1,0.1,0.8,1,0.2,F,49794,0.0712034,0.012853,0.915944,
0.6,T,0.1,0.1,0.8,2,0.2,F,47465,0.0959865,0.0236069,0.880407,
0.6,T,0.1,0.1,0.8,3,0.2,F,45044,0.129562,0.0344996,0.835938,
0.6,T,0.1,0.1,0.8,4,0.2,F,42744,0.171135,0.0457608,0.783104,
0.6,T,0.1,0.1,0.8,5,0.2,F,40851,0.224988,0.0570365,0.717975,
0.6,T,0.1,0.1,0.8,6,0.2,F,37406,0.290635,0.0723012,0.637064,
0.6,T,0.1,0.1,0.8,7,0.2,F,33119,0.366557,0.0874121,0.546031,
0.6,T,0.1,0.1,0.8,8,0.2,F,28666,0.44415,0.102718,0.453133,
0.6,T,0.1,0.1,0.8,9,0.2,F,23421,0.524465,0.113872,0.361663,
0.6,T,0.1,0.1,0.8,10,0.2,F,18256,0.597803,0.119741,0.282455,
0.6,T,0.1,0.1,0.8,11,0.2,F,13521,0.661194,0.130649,0.208158,
0.6,T,0.1,0.1,0.8,12,0.2,F,9009,0.700966,0.142857,0.156177,
0.6,T,0.1,0.1,0.8,13,0.2,F,5596,0.746873,0.134292,0.118835,
0.6,T,0.1,0.1,0.8,14,0.2,F,3417,0.790459,0.127305,0.0822359,
0.6,T,0.1,0.1,0.8,15,0.2,F,1661,0.802228,0.118001,0.0797712,
0.6,T,0.1,0.1,0.8,16,0.2,F,958,0.796451,0.120564,0.0829854,
0.6,T,0.1,0.1,0.8,17,0.2,F,528,0.763258,0.114583,0.122159,
0.6,T,0.1,0.1,0.8,18,0.2,F,505,0.792079,0.125743,0.0821782,
0.6,T,0.1,0.1,0.8,19,0.2,F,270,0.733333,0.144444,0.122222,
0.6,T,0.1,0.1,0.8,20,0.2,F,243,0.77572,0.13786,0.0864198,
0.6,T,0.1,0.1,0.8,21,0.2,F,150,0.79,0.113333,0.0966667,
0.6,T,0.1,0.1,0.8,22,0.2,F,188,0.797872,0.0851064,0.117021,
0.6,T,0.1,0.1,0.8,23,0.2,F,209,0.858852,0.0837321,0.0574163,
0.6,T,0.1,0.1,0.8,24,0.2,F,95,0.842105,0.0947368,0.0631579,
0.6,T,0.1,0.1,0.8,25,0.2,F,57,0.842105,0.105263,0.0526316,
0.6,T,0.1,0.1,0.8,26,0.2,F,30,0.8,0.116667,0.0833333,
0.6,T,0.1,0.1,0.8,27,0.2,F,37,0.891892,0.0675676,0.0405405,
0.6,T,0.1,0.1,0.8,28,0.2,F,19,0.947368,0.0263158,0.0263158,
0.6,T,0.1,0.1,0.8,29,0.2,F,19,0.868421,0.105263,0.0263158,
0.6,T,0.1,0.1,0.8,30,0.2,F,10,0.6,0.4,0.0,1
