Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55211,0.050307,0.0,0.949693,
0.6,T,0.1,0.1,0.8,1,0.2,F,49273,0.0719055,0.0134658,0.914629,
0.6,T,0.1,0.1,0.8,2,0.2,F,47413,0.0981166,0.0233058,0.878578,
0.6,T,0.1,0.1,0.8,3,0.2,F,45564,0.128753,0.0334475,0.8378,
0.6,T,0.1,0.1,0.8,4,0.2,F,43069,0.174638,0.04552,0.779842,
0.6,T,0.1,0.1,0.8,5,0.2,F,40277,0.224657,0.0579363,0.717407,
0.6,T,0.1,0.1,0.8,6,0.2,F,37834,0.291272,0.0708754,0.637852,
0.6,T,0.1,0.1,0.8,7,0.2,F,33803,0.370722,0.0873739,0.541905,
0.6,T,0.1,0.1,0.8,8,0.2,F,28295,0.453472,0.102244,0.444283,
0.6,T,0.1,0.1,0.8,9,0.2,F,23081,0.527252,0.11425,0.358498,
0.6,T,0.1,0.1,0.8,10,0.2,F,17721,0.59974,0.122764,0.277496,
0.6,T,0.1,0.1,0.8,11,0.2,F,13197,0.657384,0.132379,0.210237,
0.6,T,0.1,0.1,0.8,12,0.2,F,9187,0.702406,0.132198,0.165397,
0.6,T,0.1,0.1,0.8,13,0.2,F,5957,0.737787,0.134044,0.128169,
0.6,T,0.1,0.1,0.8,14,0.2,F,3677,0.755779,0.134893,0.109328,
0.6,T,0.1,0.1,0.8,15,0.2,F,2577,0.783469,0.128638,0.0878929,
0.6,T,0.1,0.1,0.8,16,0.2,F,1616,0.801671,0.121597,0.0767327,
0.6,T,0.1,0.1,0.8,17,0.2,F,866,0.81351,0.111432,0.0750577,
0.6,T,0.1,0.1,0.8,18,0.2,F,389,0.813625,0.12982,0.0565553,
0.6,T,0.1,0.1,0.8,19,0.2,F,176,0.809659,0.102273,0.0880682,
0.6,T,0.1,0.1,0.8,20,0.2,F,137,0.868613,0.0839416,0.0474453,
0.6,T,0.1,0.1,0.8,21,0.2,F,49,0.877551,0.0918367,0.0306122,
0.6,T,0.1,0.1,0.8,22,0.2,F,5,0.9,0.0,0.1,
0.6,T,0.1,0.1,0.8,23,0.2,F,15,0.966667,0.0,0.0333333,
0.6,T,0.1,0.1,0.8,24,0.2,F,0,NAN,NAN,NAN,1
