Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55180,0.0503353,0.0,0.949665,
0.6,T,0.1,0.1,0.8,1,0.2,F,49675,0.071545,0.0135682,0.914887,
0.6,T,0.1,0.1,0.8,2,0.2,F,47448,0.0984868,0.0232676,0.878246,
0.6,T,0.1,0.1,0.8,3,0.2,F,45307,0.13307,0.0342331,0.832697,
0.6,T,0.1,0.1,0.8,4,0.2,F,42791,0.176275,0.0457807,0.777944,
0.6,T,0.1,0.1,0.8,5,0.2,F,40176,0.233174,0.059202,0.707624,
0.6,T,0.1,0.1,0.8,6,0.2,F,36956,0.305228,0.0744128,0.620359,
0.6,T,0.1,0.1,0.8,7,0.2,F,32057,0.382865,0.0879995,0.529136,
0.6,T,0.1,0.1,0.8,8,0.2,F,27674,0.467912,0.103581,0.428507,
0.6,T,0.1,0.1,0.8,9,0.2,F,22017,0.548622,0.115638,0.335741,
0.6,T,0.1,0.1,0.8,10,0.2,F,17082,0.630664,0.12481,0.244526,
0.6,T,0.1,0.1,0.8,11,0.2,F,11389,0.689262,0.127316,0.183423,
0.6,T,0.1,0.1,0.8,12,0.2,F,7385,0.733311,0.127624,0.139066,
0.6,T,0.1,0.1,0.8,13,0.2,F,5069,0.762083,0.13622,0.101697,
0.6,T,0.1,0.1,0.8,14,0.2,F,2526,0.787015,0.127078,0.0859066,
0.6,T,0.1,0.1,0.8,15,0.2,F,1463,0.828093,0.105947,0.0659604,
0.6,T,0.1,0.1,0.8,16,0.2,F,681,0.802496,0.123348,0.0741557,
0.6,T,0.1,0.1,0.8,17,0.2,F,394,0.840102,0.0901015,0.069797,
0.6,T,0.1,0.1,0.8,18,0.2,F,289,0.8391,0.0847751,0.0761246,
0.6,T,0.1,0.1,0.8,19,0.2,F,206,0.82767,0.11165,0.0606796,
0.6,T,0.1,0.1,0.8,20,0.2,F,132,0.784091,0.166667,0.0492424,
0.6,T,0.1,0.1,0.8,21,0.2,F,59,0.788136,0.127119,0.0847458,
0.6,T,0.1,0.1,0.8,22,0.2,F,10,0.85,0.0,0.15,
0.6,T,0.1,0.1,0.8,23,0.2,F,14,0.964286,0.0357143,0.0,1
