Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55588,0.0499658,0.0,0.950034,
0.6,T,0.1,0.1,0.8,1,0.2,F,49925,0.0735704,0.0132599,0.91317,
0.6,T,0.1,0.1,0.8,2,0.2,F,47433,0.100331,0.0243291,0.87534,
0.6,T,0.1,0.1,0.8,3,0.2,F,44485,0.135371,0.0355401,0.829088,
0.6,T,0.1,0.1,0.8,4,0.2,F,42632,0.181014,0.04601,0.772976,
0.6,T,0.1,0.1,0.8,5,0.2,F,40142,0.236448,0.059028,0.704524,
0.6,T,0.1,0.1,0.8,6,0.2,F,36854,0.300904,0.0730179,0.626079,
0.6,T,0.1,0.1,0.8,7,0.2,F,32782,0.380163,0.0891343,0.530703,
0.6,T,0.1,0.1,0.8,8,0.2,F,27771,0.459796,0.105434,0.43477,
0.6,T,0.1,0.1,0.8,9,0.2,F,22384,0.537795,0.115618,0.346587,
0.6,T,0.1,0.1,0.8,10,0.2,F,17543,0.609103,0.118423,0.272473,
0.6,T,0.1,0.1,0.8,11,0.2,F,12982,0.668156,0.125443,0.206401,
0.6,T,0.1,0.1,0.8,12,0.2,F,8841,0.723504,0.124986,0.15151,
0.6,T,0.1,0.1,0.8,13,0.2,F,5581,0.752016,0.122559,0.125426,
0.6,T,0.1,0.1,0.8,14,0.2,F,3693,0.772407,0.125643,0.10195,
0.6,T,0.1,0.1,0.8,15,0.2,F,2108,0.808586,0.122391,0.0690228,
0.6,T,0.1,0.1,0.8,16,0.2,F,844,0.791469,0.141588,0.0669431,
0.6,T,0.1,0.1,0.8,17,0.2,F,448,0.839286,0.109375,0.0513393,
0.6,T,0.1,0.1,0.8,18,0.2,F,118,0.822034,0.127119,0.0508475,
0.6,T,0.1,0.1,0.8,19,0.2,F,36,0.833333,0.0694444,0.0972222,
0.6,T,0.1,0.1,0.8,20,0.2,F,36,0.791667,0.138889,0.0694444,
0.6,T,0.1,0.1,0.8,21,0.2,F,9,1.0,0.0,0.0,1
