Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55599,0.0499559,0.0,0.950044,
0.6,T,0.1,0.1,0.8,1,0.2,F,49403,0.0720503,0.0128231,0.915127,
0.6,T,0.1,0.1,0.8,2,0.2,F,46873,0.0985429,0.0238517,0.877605,
0.6,T,0.1,0.1,0.8,3,0.2,F,45086,0.13299,0.0329925,0.834017,
0.6,T,0.1,0.1,0.8,4,0.2,F,43277,0.180223,0.0460984,0.773679,
0.6,T,0.1,0.1,0.8,5,0.2,F,39883,0.235012,0.0596244,0.705363,
0.6,T,0.1,0.1,0.8,6,0.2,F,36379,0.300448,0.0748784,0.624674,
0.6,T,0.1,0.1,0.8,7,0.2,F,32670,0.376079,0.0897766,0.534144,
0.6,T,0.1,0.1,0.8,8,0.2,F,27968,0.457952,0.10478,0.437268,
0.6,T,0.1,0.1,0.8,9,0.2,F,22851,0.546628,0.114831,0.338541,
0.6,T,0.1,0.1,0.8,10,0.2,F,16991,0.622771,0.119769,0.25746,
0.6,T,0.1,0.1,0.8,11,0.2,F,12413,0.68678,0.124184,0.189036,
0.6,T,0.1,0.1,0.8,12,0.2,F,7876,0.726828,0.119667,0.153504,
0.6,T,0.1,0.1,0.8,13,0.2,F,5332,0.784134,0.113185,0.102682,
0.6,T,0.1,0.1,0.8,14,0.2,F,3077,0.81118,0.0960351,0.0927852,
0.6,T,0.1,0.1,0.8,15,0.2,F,1929,0.818818,0.110679,0.0705029,
0.6,T,0.1,0.1,0.8,16,0.2,F,1003,0.820538,0.114656,0.0648056,
0.6,T,0.1,0.1,0.8,17,0.2,F,453,0.835541,0.103753,0.0607064,
0.6,T,0.1,0.1,0.8,18,0.2,F,225,0.902222,0.0511111,0.0466667,
0.6,T,0.1,0.1,0.8,19,0.2,F,139,0.863309,0.0899281,0.0467626,
0.6,T,0.1,0.1,0.8,20,0.2,F,55,0.818182,0.154545,0.0272727,
0.6,T,0.1,0.1,0.8,21,0.2,F,13,0.846154,0.153846,0.0,1
