Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55832,0.0497475,0.0,0.950253,
0.6,T,0.1,0.1,0.8,1,0.2,F,49753,0.0705787,0.0126224,0.916799,
0.6,T,0.1,0.1,0.8,2,0.2,F,47096,0.0967917,0.0225072,0.880701,
0.6,T,0.1,0.1,0.8,3,0.2,F,45278,0.129025,0.032709,0.838266,
0.6,T,0.1,0.1,0.8,4,0.2,F,43501,0.16972,0.0435162,0.786764,
0.6,T,0.1,0.1,0.8,5,0.2,F,40505,0.220849,0.0556598,0.723491,
0.6,T,0.1,0.1,0.8,6,0.2,F,37582,0.288369,0.070446,0.641185,
0.6,T,0.1,0.1,0.8,7,0.2,F,33482,0.367063,0.0861358,0.546801,
0.6,T,0.1,0.1,0.8,8,0.2,F,28840,0.45449,0.0987344,0.446775,
0.6,T,0.1,0.1,0.8,9,0.2,F,23325,0.530847,0.10806,0.361093,
0.6,T,0.1,0.1,0.8,10,0.2,F,18332,0.608062,0.115345,0.276593,
0.6,T,0.1,0.1,0.8,11,0.2,F,13723,0.669861,0.121438,0.208701,
0.6,T,0.1,0.1,0.8,12,0.2,F,9248,0.711884,0.130461,0.157656,
0.6,T,0.1,0.1,0.8,13,0.2,F,5829,0.756047,0.131755,0.112198,
0.6,T,0.1,0.1,0.8,14,0.2,F,3333,0.770627,0.128563,0.10081,
0.6,T,0.1,0.1,0.8,15,0.2,F,2130,0.783803,0.119953,0.0962441,
0.6,T,0.1,0.1,0.8,16,0.2,F,1274,0.795918,0.124019,0.0800628,
0.6,T,0.1,0.1,0.8,17,0.2,F,743,0.816958,0.111709,0.0713324,
0.6,T,0.1,0.1,0.8,18,0.2,F,441,0.800454,0.123583,0.0759637,
0.6,T,0.1,0.1,0.8,19,0.2,F,306,0.810458,0.0964052,0.0931373,
0.6,T,0.1,0.1,0.8,20,0.2,F,195,0.792308,0.117949,0.0897436,
0.6,T,0.1,0.1,0.8,21,0.2,F,138,0.793478,0.101449,0.105072,
0.6,T,0.1,0.1,0.8,22,0.2,F,149,0.822148,0.134228,0.0436242,
0.6,T,0.1,0.1,0.8,23,0.2,F,87,0.816092,0.0574713,0.126437,
0.6,T,0.1,0.1,0.8,24,0.2,F,74,0.878378,0.0743243,0.0472973,
0.6,T,0.1,0.1,0.8,25,0.2,F,42,0.880952,0.107143,0.0119048,
0.6,T,0.1,0.1,0.8,26,0.2,F,0,NAN,NAN,NAN,1
