Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55911,0.0496772,0.0,0.950323,
0.6,T,0.1,0.1,0.8,1,0.2,F,50495,0.0727201,0.0129023,0.914378,
0.6,T,0.1,0.1,0.8,2,0.2,F,47243,0.0983744,0.0241517,0.877474,
0.6,T,0.1,0.1,0.8,3,0.2,F,45155,0.133717,0.0333075,0.832975,
0.6,T,0.1,0.1,0.8,4,0.2,F,42681,0.174644,0.0440008,0.781355,
0.6,T,0.1,0.1,0.8,5,0.2,F,40210,0.22814,0.0571251,0.714735,
0.6,T,0.1,0.1,0.8,6,0.2,F,37424,0.292606,0.0731082,0.634285,
0.6,T,0.1,0.1,0.8,7,0.2,F,33186,0.362367,0.0881848,0.549449,
0.6,T,0.1,0.1,0.8,8,0.2,F,28720,0.440982,0.101062,0.457956,
0.6,T,0.1,0.1,0.8,9,0.2,F,23925,0.525016,0.11185,0.363135,
0.6,T,0.1,0.1,0.8,10,0.2,F,18482,0.593983,0.120604,0.285413,
0.6,T,0.1,0.1,0.8,11,0.2,F,13832,0.65916,0.130603,0.210237,
0.6,T,0.1,0.1,0.8,12,0.2,F,9317,0.712676,0.128314,0.15901,
0.6,T,0.1,0.1,0.8,13,0.2,F,5545,0.757349,0.114608,0.128043,
0.6,T,0.1,0.1,0.8,14,0.2,F,3533,0.773988,0.116756,0.109256,
0.6,T,0.1,0.1,0.8,15,0.2,F,2266,0.780891,0.124669,0.0944395,
0.6,T,0.1,0.1,0.8,16,0.2,F,1483,0.778827,0.128793,0.0923803,
0.6,T,0.1,0.1,0.8,17,0.2,F,1047,0.831901,0.0988539,0.0692455,
0.6,T,0.1,0.1,0.8,18,0.2,F,611,0.846154,0.099018,0.0548282,
0.6,T,0.1,0.1,0.8,19,0.2,F,237,0.797468,0.154008,0.0485232,
0.6,T,0.1,0.1,0.8,20,0.2,F,128,0.859375,0.0976562,0.0429688,
0.6,T,0.1,0.1,0.8,21,0.2,F,69,0.775362,0.15942,0.0652174,
0.6,T,0.1,0.1,0.8,22,0.2,F,51,0.784314,0.166667,0.0490196,
0.6,T,0.1,0.1,0.8,23,0.2,F,9,0.5,0.5,0.0,1
