Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55268,0.0502551,0.0,0.949745,
0.6,T,0.1,0.1,0.8,1,0.2,F,49815,0.0731306,0.0130182,0.913851,
0.6,T,0.1,0.1,0.8,2,0.2,F,47003,0.0975682,0.022573,0.879859,
0.6,T,0.1,0.1,0.8,3,0.2,F,45387,0.132009,0.0321348,0.835856,
0.6,T,0.1,0.1,0.8,4,0.2,F,42902,0.174211,0.0456506,0.780138,
0.6,T,0.1,0.1,0.8,5,0.2,F,40892,0.229703,0.0606842,0.709613,
0.6,T,0.1,0.1,0.8,6,0.2,F,36738,0.296764,0.0747591,0.628477,
0.6,T,0.1,0.1,0.8,7,0.2,F,32997,0.370867,0.0860381,0.543095,
0.6,T,0.1,0.1,0.8,8,0.2,F,28626,0.454395,0.101062,0.444543,
0.6,T,0.1,0.1,0.8,9,0.2,F,23521,0.534161,0.116811,0.349029,
0.6,T,0.1,0.1,0.8,10,0.2,F,17532,0.603696,0.125742,0.270562,
0.6,T,0.1,0.1,0.8,11,0.2,F,12717,0.653456,0.13077,0.215774,
0.6,T,0.1,0.1,0.8,12,0.2,F,9568,0.72361,0.130383,0.146008,
0.6,T,0.1,0.1,0.8,13,0.2,F,5773,0.750996,0.130521,0.118483,
0.6,T,0.1,0.1,0.8,14,0.2,F,3412,0.799678,0.119871,0.0804513,
0.6,T,0.1,0.1,0.8,15,0.2,F,1747,0.80395,0.127934,0.0681168,
0.6,T,0.1,0.1,0.8,16,0.2,F,817,0.79437,0.132803,0.0728274,
0.6,T,0.1,0.1,0.8,17,0.2,F,460,0.825,0.13913,0.0358696,
0.6,T,0.1,0.1,0.8,18,0.2,F,125,0.868,0.088,0.044,
0.6,T,0.1,0.1,0.8,19,0.2,F,43,0.906977,0.0465116,0.0465116,
0.6,T,0.1,0.1,0.8,20,0.2,F,12,0.958333,0.0,0.0416667,
0.6,T,0.1,0.1,0.8,21,0.2,F,18,0.888889,0.0277778,0.0833333,
0.6,T,0.1,0.1,0.8,22,0.2,F,24,0.979167,0.0,0.0208333,
0.6,T,0.1,0.1,0.8,23,0.2,F,7,0.928571,0.0,0.0714286,
0.6,T,0.1,0.1,0.8,24,0.2,F,7,1.0,0.0,0.0,1
