Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55946,0.0496461,0.0,0.950354,
0.6,T,0.1,0.1,0.8,1,0.2,F,50211,0.0720858,0.0125072,0.915407,
0.6,T,0.1,0.1,0.8,2,0.2,F,47401,0.100916,0.0222358,0.876849,
0.6,T,0.1,0.1,0.8,3,0.2,F,44589,0.138734,0.0330126,0.828254,
0.6,T,0.1,0.1,0.8,4,0.2,F,42823,0.187248,0.0465988,0.766154,
0.6,T,0.1,0.1,0.8,5,0.2,F,40278,0.246859,0.0616838,0.691457,
0.6,T,0.1,0.1,0.8,6,0.2,F,36027,0.317595,0.078122,0.604283,
0.6,T,0.1,0.1,0.8,7,0.2,F,31580,0.392004,0.0898828,0.518113,
0.6,T,0.1,0.1,0.8,8,0.2,F,26964,0.47263,0.107829,0.419541,
0.6,T,0.1,0.1,0.8,9,0.2,F,21663,0.549093,0.119628,0.331279,
0.6,T,0.1,0.1,0.8,10,0.2,F,16162,0.623376,0.122664,0.25396,
0.6,T,0.1,0.1,0.8,11,0.2,F,11735,0.688496,0.125863,0.185641,
0.6,T,0.1,0.1,0.8,12,0.2,F,7922,0.733022,0.129008,0.13797,
0.6,T,0.1,0.1,0.8,13,0.2,F,4858,0.763277,0.131124,0.105599,
0.6,T,0.1,0.1,0.8,14,0.2,F,2606,0.772064,0.143707,0.0842287,
0.6,T,0.1,0.1,0.8,15,0.2,F,1291,0.771108,0.153757,0.0751356,
0.6,T,0.1,0.1,0.8,16,0.2,F,643,0.76283,0.14619,0.0909798,
0.6,T,0.1,0.1,0.8,17,0.2,F,377,0.774536,0.143236,0.0822281,
0.6,T,0.1,0.1,0.8,18,0.2,F,269,0.810409,0.0966543,0.0929368,
0.6,T,0.1,0.1,0.8,19,0.2,F,153,0.816993,0.0816993,0.101307,
0.6,T,0.1,0.1,0.8,20,0.2,F,144,0.826389,0.0972222,0.0763889,
0.6,T,0.1,0.1,0.8,21,0.2,F,100,0.87,0.095,0.035,
0.6,T,0.1,0.1,0.8,22,0.2,F,25,0.8,0.18,0.02,
0.6,T,0.1,0.1,0.8,23,0.2,F,8,0.75,0.25,0.0,1
