Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55539,0.0500099,0.0,0.94999,
0.6,T,0.1,0.1,0.8,1,0.2,F,49878,0.0710333,0.0133726,0.915594,
0.6,T,0.1,0.1,0.8,2,0.2,F,47449,0.0977049,0.0236464,0.878649,
0.6,T,0.1,0.1,0.8,3,0.2,F,45358,0.131101,0.0344923,0.834406,
0.6,T,0.1,0.1,0.8,4,0.2,F,42865,0.175003,0.0460166,0.778981,
0.6,T,0.1,0.1,0.8,5,0.2,F,40353,0.226625,0.059153,0.714222,
0.6,T,0.1,0.1,0.8,6,0.2,F,37119,0.293246,0.0724562,0.634298,
0.6,T,0.1,0.1,0.8,7,0.2,F,32546,0.36685,0.0893505,0.5438,
0.6,T,0.1,0.1,0.8,8,0.2,F,28268,0.452632,0.0993349,0.448033,
0.6,T,0.1,0.1,0.8,9,0.2,F,23295,0.531788,0.109036,0.359176,
0.6,T,0.1,0.1,0.8,10,0.2,F,17666,0.61624,0.120288,0.263472,
0.6,T,0.1,0.1,0.8,11,0.2,F,12680,0.67847,0.124685,0.196845,
0.6,T,0.1,0.1,0.8,12,0.2,F,8393,0.729179,0.132134,0.138687,
0.6,T,0.1,0.1,0.8,13,0.2,F,4845,0.765635,0.122497,0.111868,
0.6,T,0.1,0.1,0.8,14,0.2,F,3118,0.787524,0.127646,0.08483,
0.6,T,0.1,0.1,0.8,15,0.2,F,1491,0.800134,0.12609,0.073776,
0.6,T,0.1,0.1,0.8,16,0.2,F,766,0.817232,0.11423,0.0685379,
0.6,T,0.1,0.1,0.8,17,0.2,F,431,0.815545,0.12993,0.0545244,
0.6,T,0.1,0.1,0.8,18,0.2,F,150,0.746667,0.18,0.0733333,
0.6,T,0.1,0.1,0.8,19,0.2,F,78,0.698718,0.198718,0.102564,
0.6,T,0.1,0.1,0.8,20,0.2,F,10,0.9,0.1,0.0,1
