Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,55314,0.0502133,0.0,0.949787,
0.6,T,0.1,0.1,0.8,1,0.2,F,49732,0.0723981,0.0130902,0.914512,
0.6,T,0.1,0.1,0.8,2,0.2,F,47148,0.100365,0.0236383,0.875997,
0.6,T,0.1,0.1,0.8,3,0.2,F,44929,0.137406,0.0350887,0.827506,
0.6,T,0.1,0.1,0.8,4,0.2,F,42783,0.181497,0.0476007,0.770902,
0.6,T,0.1,0.1,0.8,5,0.2,F,39867,0.236047,0.0624702,0.701482,
0.6,T,0.1,0.1,0.8,6,0.2,F,36657,0.305699,0.0750471,0.619254,
0.6,T,0.1,0.1,0.8,7,0.2,F,31975,0.384347,0.0908679,0.524785,
0.6,T,0.1,0.1,0.8,8,0.2,F,27321,0.468998,0.103638,0.427364,
0.6,T,0.1,0.1,0.8,9,0.2,F,22344,0.546097,0.117638,0.336265,
0.6,T,0.1,0.1,0.8,10,0.2,F,16734,0.621758,0.126031,0.252211,
0.6,T,0.1,0.1,0.8,11,0.2,F,11737,0.680796,0.130868,0.188336,
0.6,T,0.1,0.1,0.8,12,0.2,F,7785,0.726397,0.125305,0.148298,
0.6,T,0.1,0.1,0.8,13,0.2,F,5142,0.762058,0.124465,0.113477,
0.6,T,0.1,0.1,0.8,14,0.2,F,2970,0.782155,0.130135,0.0877104,
0.6,T,0.1,0.1,0.8,15,0.2,F,1587,0.795211,0.109326,0.0954631,
0.6,T,0.1,0.1,0.8,16,0.2,F,1214,0.81631,0.10832,0.0753707,
0.6,T,0.1,0.1,0.8,17,0.2,F,759,0.798419,0.126482,0.0750988,
0.6,T,0.1,0.1,0.8,18,0.2,F,478,0.805439,0.115063,0.0794979,
0.6,T,0.1,0.1,0.8,19,0.2,F,210,0.842857,0.104762,0.052381,
0.6,T,0.1,0.1,0.8,20,0.2,F,80,0.90625,0.0375,0.05625,
0.6,T,0.1,0.1,0.8,21,0.2,F,34,0.75,0.176471,0.0735294,
0.6,T,0.1,0.1,0.8,22,0.2,F,40,0.7875,0.1375,0.075,
0.6,T,0.1,0.1,0.8,23,0.2,F,25,0.78,0.18,0.04,
0.6,T,0.1,0.1,0.8,24,0.2,F,7,0.928571,0.0714286,0.0,1
