Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,3711,0.1,0.8,26,0.0,6.0,,0.03,26,0.207551 0.343598 0.243356 9482,T,9482,0.0715039,0.0884834,0.183611,0.207551,0.243356,0.0622232,0.273782,0.549093,0.320397
0.8,0.2,F,0.1,4478,0.1,0.8,27,0.0,6.0,,0.03,27,0.225945 0.367784 0.223883 11640,T,11640,0.0841065,0.0994845,0.184192,0.225945,0.223883,0.0513746,0.245533,0.550172,0.335309
0.8,0.2,F,0.1,5322,0.1,0.8,28,0.0,6.0,,0.03,28,0.221117 0.357914 0.209837 13520,T,13520,0.0843195,0.087574,0.186021,0.221117,0.209837,0.0435651,0.24497,0.569046,0.35355
0.8,0.2,F,0.1,5935,0.1,0.8,29,0.0,6.0,,0.03,29,0.23101 0.364918 0.194173 15324,T,15324,0.0971026,0.0897938,0.178021,0.23101,0.194173,0.0396111,0.219329,0.574817,0.376142
0.8,0.2,F,0.1,6583,0.1,0.8,30,0.0,6.0,,0.03,30,0.229001 0.359658 0.17394 16727,T,16727,0.098344,0.080947,0.180367,0.229001,0.17394,0.0321038,0.202726,0.597059,0.405512
0.8,0.2,F,0.1,7069,0.1,0.8,31,0.0,6.0,,0.03,31,0.235255 0.362483 0.154345 18125,T,18125,0.108028,0.0725517,0.181903,0.235255,0.154345,0.027531,0.181076,0.6104,0.42891
0.8,0.2,F,0.1,7542,0.1,0.8,32,0.0,6.0,,0.03,32,0.234197 0.359031 0.13877 18873,T,18873,0.109363,0.070736,0.178933,0.234197,0.13877,0.0212473,0.164309,0.627033,0.455412
0.8,0.2,F,0.1,8142,0.1,0.8,33,0.0,6.0,,0.03,33,0.233828 0.355411 0.12335 20081,T,20081,0.112245,0.0629451,0.18022,0.233828,0.12335,0.016284,0.151188,0.642822,0.477118
0.8,0.2,F,0.1,8450,0.1,0.8,34,0.0,6.0,,0.03,34,0.245484 0.367304 0.112835 21146,T,21146,0.123664,0.0641256,0.179514,0.245484,0.112835,0.0131467,0.13525,0.641682,0.4843
0.8,0.2,F,0.1,8425,0.1,0.8,35,0.0,6.0,,0.03,35,0.249596 0.372244 0.100817 21048,T,21048,0.126948,0.0600057,0.185291,0.249596,0.100817,0.0118301,0.117968,0.649587,0.497957
0.8,0.2,F,0.1,8439,0.1,0.8,36,0.0,6.0,,0.03,36,0.261527 0.380176 0.0909903 21277,T,21277,0.142877,0.054566,0.182733,0.261527,0.0909903,0.0104808,0.106453,0.647483,0.50289
0.8,0.2,F,0.1,8473,0.1,0.8,37,0.0,6.0,,0.03,37,0.252136 0.36764 0.0844445 21298,T,21298,0.136633,0.0533853,0.177622,0.252136,0.0844445,0.00962532,0.0962532,0.663419,0.526481
0.8,0.2,F,0.1,8657,0.1,0.8,38,0.0,6.0,,0.03,38,0.254643 0.37065 0.0754482 21697,T,21697,0.138637,0.0536019,0.178412,0.254643,0.0754482,0.00737429,0.082546,0.669908,0.539429
0.8,0.2,F,0.1,9003,0.1,0.8,39,0.0,6.0,,0.03,39,0.257655 0.371418 0.0686603 22371,T,22371,0.143892,0.0496625,0.177864,0.257655,0.0686603,0.00737562,0.0729069,0.673685,0.548299
0.8,0.2,F,0.1,9189,0.1,0.8,40,0.0,6.0,,0.03,40,0.260484 0.375355 0.062377 22869,T,22869,0.145612,0.0461323,0.183611,0.260484,0.062377,0.00616555,0.0662906,0.677139,0.552189
0.8,0.2,F,0.1,8923,0.1,0.8,41,0.0,6.0,,0.03,41,0.276987 0.397991 0.0578348 22400,T,22400,0.155982,0.0489286,0.19308,0.276987,0.0578348,0.00428571,0.0581696,0.665179,0.539554
0.8,0.2,F,0.1,8448,0.1,0.8,42,0.0,6.0,,0.03,42,0.274473 0.397271 0.0571936 21401,T,21401,0.151675,0.0498575,0.195739,0.274473,0.0571936,0.00556049,0.0534087,0.668333,0.54376
0.8,0.2,F,0.1,7949,0.1,0.8,43,0.0,6.0,,0.03,43,0.282961 0.414236 0.0566468 20160,T,20160,0.151687,0.0500992,0.21245,0.282961,0.0566468,0.00426587,0.0546627,0.660392,0.526835
0.8,0.2,F,0.1,7478,0.1,0.8,44,0.0,6.0,,0.03,44,0.313345 0.452907 0.0572021 19536,T,19536,0.173782,0.0586609,0.220465,0.313345,0.0572021,0.00348075,0.0487817,0.629453,0.49483
0.8,0.2,F,0.1,6570,0.1,0.8,45,0.0,6.0,,0.03,45,0.335303 0.471877 0.0555215 17939,T,17939,0.198729,0.0576955,0.215452,0.335303,0.0555215,0.00412509,0.0450973,0.609176,0.478901
0.8,0.2,F,0.1,6154,0.1,0.8,46,0.0,6.0,,0.03,46,0.330112 0.478702 0.0532439 16246,T,16246,0.181522,0.0548443,0.242337,0.330112,0.0532439,0.0050474,0.0415487,0.616644,0.474701
0.8,0.2,F,0.1,5553,0.1,0.8,47,0.0,6.0,,0.03,47,0.38221 0.531659 0.0517175 15604,T,15604,0.232761,0.0581902,0.240708,0.38221,0.0517175,0.00346065,0.0383235,0.566073,0.426557
0.8,0.2,F,0.1,4950,0.1,0.8,48,0.0,6.0,,0.03,48,0.398933 0.559347 0.054013 14154,T,14154,0.238519,0.0628091,0.258019,0.398933,0.054013,0.00466299,0.0358909,0.547054,0.400099
0.8,0.2,F,0.1,4348,0.1,0.8,49,0.0,6.0,,0.03,49,0.414478 0.575587 0.0556026 12985,T,12985,0.253369,0.0676935,0.254524,0.414478,0.0556026,0.00492876,0.0336542,0.529919,0.38583
0.8,0.2,F,0.1,3688,0.1,0.8,50,0.0,6.0,,0.03,50,0.442588 0.603288 0.0533899 11313,T,11313,0.281888,0.0662954,0.255105,0.442588,0.0533899,0.00592239,0.0286396,0.504022,0.36215
0.8,0.2,F,0.1,3142,0.1,0.8,51,0.0,6.0,,0.03,51,0.456151 0.609071 0.051174 9966,T,9966,0.303231,0.0656231,0.240217,0.456151,0.051174,0.00371262,0.0292996,0.492675,0.357917
0.8,0.2,F,0.1,2678,0.1,0.8,52,0.0,6.0,,0.03,52,0.452685 0.615394 0.0499403 8380,T,8380,0.289976,0.0649165,0.260501,0.452685,0.0499403,0.00346062,0.028043,0.497375,0.353103
0.8,0.2,F,0.1,2362,0.1,0.8,53,0.0,6.0,,0.03,53,0.464686 0.636315 0.0516689 7490,T,7490,0.293057,0.0698264,0.273431,0.464686,0.0516689,0.00400534,0.0255007,0.483645,0.334179
0.8,0.2,F,0.1,1955,0.1,0.8,54,0.0,6.0,,0.03,54,0.501391 0.672075 0.0460516 6471,T,6471,0.330706,0.0647504,0.276619,0.501391,0.0460516,0.00293618,0.0214805,0.452558,0.303508
0.8,0.2,F,0.1,1752,0.1,0.8,55,0.0,6.0,,0.03,55,0.502442 0.686381 0.0377103 5529,T,5529,0.318502,0.0499186,0.31796,0.502442,0.0377103,0.00198951,0.0215229,0.459848,0.290107
0.8,0.2,F,0.1,1350,0.1,0.8,56,0.0,6.0,,0.03,56,0.574337 0.759773 0.0399028 4937,T,4937,0.3889,0.052461,0.318412,0.574337,0.0399028,0.00283573,0.0216731,0.385761,0.215718
0.8,0.2,F,0.1,953,0.1,0.8,57,0.0,6.0,,0.03,57,0.602578 0.790327 0.0425193 3763,T,3763,0.414829,0.0635132,0.311985,0.602578,0.0425193,0.00186022,0.0178049,0.354903,0.190008
0.8,0.2,F,0.1,757,0.1,0.8,58,0.0,6.0,,0.03,58,0.603072 0.807509 0.044198 2930,T,2930,0.398635,0.0587031,0.350171,0.603072,0.044198,0.00204778,0.0255973,0.35273,0.164846
0.8,0.2,F,0.1,596,0.1,0.8,59,0.0,6.0,,0.03,59,0.649147 0.862753 0.0551369 2521,T,2521,0.435541,0.0678302,0.359381,0.649147,0.0551369,0.00357001,0.0353035,0.295716,0.0983737
0.8,0.2,F,0.1,488,0.1,0.8,60,0.0,6.0,,0.03,60,0.677279 0.890976 0.0620705 2183,T,2183,0.463582,0.080623,0.34677,0.677279,0.0620705,0.00641319,0.0306917,0.26065,0.0719194
0.8,0.2,F,0.1,364,0.1,0.8,61,0.0,6.0,,0.03,61,0.716273 0.912336 0.0666667 1905,T,1905,0.52021,0.0913386,0.300787,0.716273,0.0666667,0.00682415,0.0283465,0.21706,0.0524934
0.8,0.2,F,0.1,240,0.1,0.8,62,0.0,6.0,,0.03,62,0.743042 0.917799 0.0682848 1545,T,1545,0.568285,0.105502,0.244013,0.743042,0.0682848,0.00323625,0.0245955,0.188673,0.0543689
0.8,0.2,F,0.1,192,0.1,0.8,63,0.0,6.0,,0.03,63,0.73913 0.933877 0.0602355 1104,T,1104,0.544384,0.0960145,0.293478,0.73913,0.0602355,0.00181159,0.0208333,0.200634,0.0434783
0.8,0.2,F,0.1,151,0.1,0.8,64,0.0,6.0,,0.03,64,0.788049 0.954035 0.0398366 979,T,979,0.622063,0.0684372,0.263534,0.788049,0.0398366,0.00102145,0.00919305,0.172114,0.0357508
0.8,0.2,F,0.1,114,0.1,0.8,65,0.0,6.0,,0.03,65,0.820341 0.93179 0.0225335 821,T,821,0.708892,0.0243605,0.198538,0.820341,0.0225335,0.00121803,0.0182704,0.157125,0.0487211
0.8,0.2,F,0.1,127,0.1,0.8,66,0.0,6.0,,0.03,66,0.729951 0.934534 0.0490998 611,T,611,0.525368,0.086743,0.322422,0.729951,0.0490998,0.0,0.0114566,0.220949,0.0540098
0.8,0.2,F,0.1,121,0.1,0.8,67,0.0,6.0,,0.03,67,0.757909 0.914718 0.0275103 727,T,727,0.6011,0.0522696,0.261348,0.757909,0.0275103,0.0,0.00275103,0.21458,0.0825309
0.8,0.2,F,0.1,133,0.1,0.8,68,0.0,6.0,,0.03,68,0.697183 0.878521 0.0202465 568,T,568,0.515845,0.0316901,0.330986,0.697183,0.0202465,0.0,0.00880282,0.28257,0.112676
