Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29531,0.1,0.8,0,0.0,6.0,0.03,,0.0470587 0.0941174 0.0 59022,T,,59022,0.0,0.0,0.0941174,0.0470587,0.0,0.0,0.0,0.952941,0.905883
0.8,0.2,F,0.1,25853,0.1,0.8,1,0.0,6.0,0.03,,0.0777015 0.148727 0.00403249 52573,T,,52573,0.00667643,0.00665741,0.135393,0.0777015,0.00403249,3.80423e-05,0.00133148,0.918266,0.849904
0.8,0.2,F,0.1,24931,0.1,0.8,2,0.0,6.0,0.03,,0.116796 0.219657 0.00751166 50588,T,,50588,0.0139361,0.00935004,0.196371,0.116796,0.00751166,7.90701e-05,0.00551514,0.875692,0.774749
0.8,0.2,F,0.1,23657,0.1,0.8,3,0.0,6.0,0.03,,0.172319 0.313788 0.0126405 49919,T,,49919,0.03085,0.0140027,0.268936,0.172319,0.0126405,0.000100162,0.0110779,0.81504,0.675034
0.8,0.2,F,0.1,21643,0.1,0.8,4,0.0,6.0,0.03,4,0.247115 0.433109 0.0188729 46972,T,,46972,0.0611215,0.0199055,0.352082,0.247115,0.0188729,0.000404496,0.0170314,0.734012,0.549455
0.8,0.2,F,0.1,18866,0.1,0.8,5,0.0,6.0,0.03,5,0.342191 0.567829 0.0264369 44332,T,,44332,0.116552,0.0300911,0.421186,0.342191,0.0264369,0.000473698,0.0218352,0.631372,0.409862
0.8,0.2,F,0.1,15068,0.1,0.8,6,0.0,6.0,0.03,6,0.455333 0.701897 0.0320732 39862,T,,39862,0.20877,0.0372535,0.455873,0.455333,0.0320732,0.00080277,0.0252872,0.512593,0.272013
0.8,0.2,F,0.1,10700,0.1,0.8,7,0.0,6.0,0.03,7,0.570165 0.822543 0.0376152 33856,T,,33856,0.317787,0.0495924,0.455163,0.570165,0.0376152,0.000708885,0.0242202,0.39222,0.152528
0.8,0.2,F,0.1,6418,0.1,0.8,8,0.0,6.0,0.03,8,0.67995 0.899917 0.0408814 26638,T,,26638,0.459982,0.0569863,0.382949,0.67995,0.0408814,0.00150161,0.0217734,0.279169,0.0768076
0.8,0.2,F,0.1,3383,0.1,0.8,9,0.0,6.0,0.03,9,0.763151 0.944268 0.0401156 18858,T,,18858,0.582034,0.0597094,0.302524,0.763151,0.0401156,0.00206809,0.0163856,0.196733,0.0372786
0.8,0.2,F,0.1,1770,0.1,0.8,10,0.0,6.0,0.03,10,0.802781 0.963665 0.042897 12192,T,,12192,0.641896,0.0675853,0.254183,0.802781,0.042897,0.00278871,0.0126312,0.154323,0.0209154
0.8,0.2,F,0.1,944,0.1,0.8,11,0.0,6.0,0.03,11,0.835442 0.972016 0.0427059 8219,T,,8219,0.698868,0.0676481,0.205499,0.835442,0.0427059,0.00267672,0.0124103,0.121852,0.0128969
0.8,0.2,F,0.1,568,0.1,0.8,12,0.0,6.0,0.03,12,0.838567 0.967615 0.0442591 5095,T,,5095,0.709519,0.0698724,0.188224,0.838567,0.0442591,0.00255152,0.0135427,0.117174,0.0162905
0.8,0.2,F,0.1,389,0.1,0.8,13,0.0,6.0,0.03,13,0.826961 0.961767 0.0440385 3531,T,,3531,0.692155,0.0705183,0.199094,0.826961,0.0440385,0.00141603,0.0147267,0.129,0.0220901
0.8,0.2,F,0.1,301,0.1,0.8,14,0.0,6.0,0.03,14,0.803734 0.949454 0.0537341 2196,T,,2196,0.658015,0.079235,0.212204,0.803734,0.0537341,0.00318761,0.0218579,0.142532,0.0255009
0.8,0.2,F,0.1,248,0.1,0.8,15,0.0,6.0,0.03,15,0.784684 0.945616 0.0613208 1802,T,,1802,0.623751,0.101554,0.220311,0.784684,0.0613208,0.000554939,0.0199778,0.153996,0.0338513
0.8,0.2,F,0.1,226,0.1,0.8,16,0.0,6.0,0.03,16,0.747126 0.913793 0.0653736 1392,T,,1392,0.58046,0.0977011,0.235632,0.747126,0.0653736,0.00646552,0.0201149,0.1875,0.0596264
0.8,0.2,F,0.1,223,0.1,0.8,17,0.0,6.0,0.03,17,0.728768 0.92961 0.0684774 1307,T,,1307,0.527927,0.10482,0.296863,0.728768,0.0684774,0.00382555,0.0244836,0.202754,0.0420811
0.8,0.2,F,0.1,190,0.1,0.8,18,0.0,6.0,0.03,18,0.753744 0.93304 0.0757709 1135,T,,1135,0.574449,0.107489,0.251101,0.753744,0.0757709,0.00704846,0.0299559,0.170485,0.0299559
0.8,0.2,F,0.1,166,0.1,0.8,19,0.0,6.0,0.03,19,0.732318 0.931238 0.0776031 1018,T,,1018,0.533399,0.113949,0.28389,0.732318,0.0776031,0.00491159,0.0314342,0.190079,0.0324165
0.8,0.2,F,0.1,140,0.1,0.8,20,0.0,6.0,0.03,20,0.734289 0.90849 0.0826902 907,T,,907,0.560088,0.113561,0.23484,0.734289,0.0826902,0.0121279,0.0275634,0.183021,0.0518192
0.8,0.2,F,0.1,185,0.1,0.8,21,0.0,6.0,0.03,21,0.682778 0.872222 0.0794444 900,T,,900,0.493333,0.101111,0.277778,0.682778,0.0794444,0.0111111,0.0355556,0.237778,0.0811111
0.8,0.2,F,0.1,243,0.1,0.8,22,0.0,6.0,0.03,22,0.664389 0.871904 0.0956447 1171,T,,1171,0.456874,0.109308,0.305722,0.664389,0.0956447,0.0111016,0.059778,0.239966,0.0572161
0.8,0.2,F,0.1,224,0.1,0.8,23,0.0,6.0,0.03,23,0.689992 0.87144 0.0899105 1229,T,,1229,0.508544,0.109845,0.253051,0.689992,0.0899105,0.00406835,0.0618389,0.220098,0.0626526
0.8,0.2,F,0.1,210,0.1,0.8,24,0.0,6.0,0.03,24,0.626484 0.820091 0.106849 1095,T,,1095,0.432877,0.110502,0.276712,0.626484,0.106849,0.0173516,0.0684932,0.266667,0.0940639
0.8,0.2,F,0.1,243,0.1,0.8,25,0.0,6.0,0.03,25,0.586529 0.829892 0.120452 1017,T,,1017,0.343166,0.144543,0.342183,0.586529,0.120452,0.0147493,0.0668633,0.293019,0.0884956
0.8,0.2,F,0.1,278,0.1,0.8,26,0.0,6.0,0.03,26,0.626693 0.848606 0.117928 1255,T,,1255,0.404781,0.121912,0.321912,0.626693,0.117928,0.0159363,0.0820717,0.255378,0.0533865
0.8,0.2,F,0.1,244,0.1,0.8,27,0.0,6.0,0.03,27,0.681855 0.88809 0.11231 1251,T,,1251,0.47562,0.136691,0.275779,0.681855,0.11231,0.0103917,0.0671463,0.205835,0.0343725
0.8,0.2,F,0.1,234,0.1,0.8,28,0.0,6.0,0.03,28,0.669459 0.845392 0.139375 1313,T,,1313,0.493526,0.124143,0.227723,0.669459,0.139375,0.0380807,0.0784463,0.191165,0.0380807
0.8,0.2,F,0.1,222,0.1,0.8,29,0.0,6.0,0.03,29,0.624206 0.803968 0.159921 1260,T,,1260,0.444444,0.142857,0.216667,0.624206,0.159921,0.0404762,0.0960317,0.215873,0.0595238
0.8,0.2,F,0.1,264,0.1,0.8,30,0.0,6.0,0.03,30,0.555263 0.757018 0.169298 1140,T,,1140,0.353509,0.127193,0.276316,0.555263,0.169298,0.0464912,0.118421,0.275439,0.0780702
0.8,0.2,F,0.1,307,0.1,0.8,31,0.0,6.0,0.03,31,0.553125 0.76875 0.178125 1280,T,,1280,0.3375,0.178906,0.252344,0.553125,0.178125,0.028125,0.121094,0.26875,0.0820312
0.8,0.2,F,0.1,382,0.1,0.8,32,0.0,6.0,0.03,32,0.558004 0.777058 0.168179 1543,T,,1543,0.33895,0.156837,0.28127,0.558004,0.168179,0.0324044,0.114712,0.273817,0.0758263
0.8,0.2,F,0.1,358,0.1,0.8,33,0.0,6.0,0.03,33,0.563192 0.786838 0.174141 1717,T,,1717,0.339546,0.184624,0.262667,0.563192,0.174141,0.0355271,0.0926034,0.262667,0.085032
0.8,0.2,F,0.1,366,0.1,0.8,34,0.0,6.0,0.03,34,0.575937 0.791875 0.140937 1600,T,,1600,0.36,0.146875,0.285,0.575937,0.140937,0.023125,0.08875,0.283125,0.09625
0.8,0.2,F,0.1,422,0.1,0.8,35,0.0,6.0,0.03,35,0.608815 0.839669 0.116804 1815,T,,1815,0.377961,0.131129,0.330579,0.608815,0.116804,0.0126722,0.077135,0.27438,0.0705234
