Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29486,0.1,0.8,0,0.0,6.0,,0.03,,0.0471834 0.0943669 0.0 58866,T,58866,0.0,0.0,0.0943669,0.0471834,0.0,0.0,0.0,0.952817,0.905633
0.8,0.2,F,0.1,26155,0.1,0.8,1,0.0,6.0,,0.03,,0.0783733 0.150261 0.00443053 53041,T,53041,0.00648555,0.00716427,0.136611,0.0783733,0.00443053,9.42667e-05,0.00150827,0.917196,0.848136
0.8,0.2,F,0.1,25160,0.1,0.8,2,0.0,6.0,,0.03,,0.118346 0.223969 0.00776265 51400,T,51400,0.0127237,0.00947471,0.20177,0.118346,0.00776265,0.000175097,0.00570039,0.873891,0.770156
0.8,0.2,F,0.1,23676,0.1,0.8,3,0.0,6.0,,0.03,,0.17727 0.323554 0.0128107 49763,T,49763,0.0309869,0.0150312,0.277536,0.17727,0.0128107,0.000100476,0.0103892,0.809919,0.665957
0.8,0.2,F,0.1,21514,0.1,0.8,4,0.0,6.0,,0.03,4,0.255237 0.441221 0.0193813 47262,T,47262,0.0692523,0.0203969,0.351572,0.255237,0.0193813,0.000190428,0.0179849,0.725382,0.540603
0.8,0.2,F,0.1,18764,0.1,0.8,5,0.0,6.0,,0.03,5,0.345069 0.571322 0.0272096 44194,T,44194,0.118817,0.0303887,0.422116,0.345069,0.0272096,0.000588315,0.0228538,0.627721,0.405236
0.8,0.2,F,0.1,15069,0.1,0.8,6,0.0,6.0,,0.03,6,0.453327 0.701785 0.0330333 39884,T,39884,0.204869,0.0379099,0.459006,0.453327,0.0330333,0.00102798,0.0261007,0.51364,0.271086
0.8,0.2,F,0.1,10748,0.1,0.8,7,0.0,6.0,,0.03,7,0.563582 0.807438 0.0387103 33854,T,33854,0.319726,0.0493886,0.438323,0.563582,0.0387103,0.000945235,0.0261417,0.397708,0.165475
0.8,0.2,F,0.1,6748,0.1,0.8,8,0.0,6.0,,0.03,8,0.661101 0.884641 0.0426692 26682,T,26682,0.437561,0.0573045,0.389776,0.661101,0.0426692,0.0013867,0.0252605,0.29623,0.0887115
0.8,0.2,F,0.1,3814,0.1,0.8,9,0.0,6.0,,0.03,9,0.735758 0.925992 0.0459308 19660,T,19660,0.545524,0.0643438,0.316124,0.735758,0.0459308,0.00193286,0.0236521,0.218311,0.0484232
0.8,0.2,F,0.1,2103,0.1,0.8,10,0.0,6.0,,0.03,10,0.778424 0.958296 0.0506938 13404,T,13404,0.598553,0.0814682,0.278275,0.778424,0.0506938,0.00223814,0.0154432,0.170882,0.0240227
0.8,0.2,F,0.1,1111,0.1,0.8,11,0.0,6.0,,0.03,11,0.829967 0.972204 0.0410423 9210,T,9210,0.687731,0.0673181,0.217155,0.829967,0.0410423,0.00162866,0.0115092,0.12899,0.014658
0.8,0.2,F,0.1,551,0.1,0.8,12,0.0,6.0,,0.03,12,0.847615 0.972637 0.0443744 5555,T,5555,0.722592,0.0732673,0.176778,0.847615,0.0443744,0.00180018,0.0118812,0.108011,0.0136814
0.8,0.2,F,0.1,386,0.1,0.8,13,0.0,6.0,,0.03,13,0.822621 0.962871 0.0524181 3205,T,3205,0.682371,0.0804992,0.2,0.822621,0.0524181,0.0049922,0.0143526,0.124961,0.0177847
0.8,0.2,F,0.1,305,0.1,0.8,14,0.0,6.0,,0.03,14,0.817847 0.958962 0.0572977 2583,T,2583,0.676732,0.0793651,0.202865,0.817847,0.0572977,0.0100658,0.0150987,0.124855,0.015873
0.8,0.2,F,0.1,192,0.1,0.8,15,0.0,6.0,,0.03,15,0.824522 0.961755 0.0489314 1778,T,1778,0.687289,0.0635546,0.210911,0.824522,0.0489314,0.00787402,0.0185602,0.126547,0.011811
0.8,0.2,F,0.1,100,0.1,0.8,16,0.0,6.0,,0.03,16,0.844037 0.973394 0.0472477 1090,T,1090,0.714679,0.0743119,0.184404,0.844037,0.0472477,0.00550459,0.00917431,0.108716,0.0119266
0.8,0.2,F,0.1,68,0.1,0.8,17,0.0,6.0,,0.03,17,0.834646 0.977953 0.0645669 635,T,635,0.691339,0.111811,0.174803,0.834646,0.0645669,0.0,0.0173228,0.100787,0.00472441
0.8,0.2,F,0.1,48,0.1,0.8,18,0.0,6.0,,0.03,18,0.810748 0.948598 0.0817757 428,T,428,0.672897,0.119159,0.156542,0.810748,0.0817757,0.00934579,0.0257009,0.107477,0.0163551
0.8,0.2,F,0.1,50,0.1,0.8,19,0.0,6.0,,0.03,19,0.708709 0.858859 0.135135 333,T,333,0.558559,0.159159,0.141141,0.708709,0.135135,0.027027,0.0570571,0.156156,0.0570571
0.8,0.2,F,0.1,81,0.1,0.8,20,0.0,6.0,,0.03,20,0.599162 0.801676 0.138268 358,T,358,0.396648,0.145251,0.259777,0.599162,0.138268,0.027933,0.075419,0.26257,0.0949721
0.8,0.2,F,0.1,105,0.1,0.8,21,0.0,6.0,,0.03,21,0.581693 0.771654 0.125 508,T,508,0.391732,0.122047,0.257874,0.581693,0.125,0.0334646,0.0610236,0.293307,0.133858
0.8,0.2,F,0.1,179,0.1,0.8,22,0.0,6.0,,0.03,22,0.511285 0.784722 0.0876736 576,T,576,0.237847,0.114583,0.432292,0.511285,0.0876736,0.0104167,0.0399306,0.401042,0.164931
0.8,0.2,F,0.1,208,0.1,0.8,23,0.0,6.0,,0.03,23,0.611819 0.807648 0.0718424 863,T,863,0.415991,0.0706837,0.320973,0.611819,0.0718424,0.0104287,0.0521437,0.316338,0.12978
0.8,0.2,F,0.1,233,0.1,0.8,24,0.0,6.0,,0.03,24,0.620239 0.826986 0.0837867 919,T,919,0.413493,0.0674646,0.346028,0.620239,0.0837867,0.0163221,0.0674646,0.295974,0.0892274
0.8,0.2,F,0.1,243,0.1,0.8,25,0.0,6.0,,0.03,25,0.621724 0.758242 0.109467 1183,T,1183,0.485207,0.0718512,0.201183,0.621724,0.109467,0.0236686,0.0997464,0.268808,0.118343
0.8,0.2,F,0.1,382,0.1,0.8,26,0.0,6.0,,0.03,26,0.440991 0.575924 0.145555 1271,T,1271,0.306058,0.0472069,0.222659,0.440991,0.145555,0.0393391,0.165224,0.413454,0.219512
0.8,0.2,F,0.1,615,0.1,0.8,27,0.0,6.0,,0.03,27,0.341837 0.489229 0.180556 1764,T,1764,0.194444,0.0719955,0.222789,0.341837,0.180556,0.0481859,0.192744,0.477608,0.269841
0.8,0.2,F,0.1,965,0.1,0.8,28,0.0,6.0,,0.03,28,0.287914 0.438596 0.182456 2565,T,2565,0.137232,0.0826511,0.218713,0.287914,0.182456,0.0483431,0.185575,0.52963,0.327485
0.8,0.2,F,0.1,1338,0.1,0.8,29,0.0,6.0,,0.03,29,0.279332 0.439623 0.167856 3503,T,3503,0.119041,0.0799315,0.240651,0.279332,0.167856,0.0368256,0.18213,0.552812,0.341422
0.8,0.2,F,0.1,1707,0.1,0.8,30,0.0,6.0,,0.03,30,0.282448 0.458193 0.150527 4461,T,4461,0.106703,0.0815961,0.269895,0.282448,0.150527,0.0354181,0.148621,0.567025,0.357767
0.8,0.2,F,0.1,2329,0.1,0.8,31,0.0,6.0,,0.03,31,0.28198 0.456779 0.141338 5738,T,5738,0.10718,0.0712792,0.27832,0.28198,0.141338,0.0282328,0.154932,0.576682,0.360056
0.8,0.2,F,0.1,2882,0.1,0.8,32,0.0,6.0,,0.03,32,0.299839 0.478909 0.143068 7444,T,7444,0.120768,0.0757657,0.282375,0.299839,0.143068,0.0302257,0.149919,0.557093,0.340946
0.8,0.2,F,0.1,3430,0.1,0.8,33,0.0,6.0,,0.03,33,0.31389 0.488434 0.142391 9035,T,9035,0.139347,0.0772551,0.271832,0.31389,0.142391,0.0296624,0.148201,0.543719,0.333702
0.8,0.2,F,0.1,3930,0.1,0.8,34,0.0,6.0,,0.03,34,0.327855 0.506446 0.130801 10860,T,10860,0.149263,0.0740331,0.283149,0.327855,0.130801,0.0277164,0.132136,0.541344,0.333702
0.8,0.2,F,0.1,4318,0.1,0.8,35,0.0,6.0,,0.03,35,0.353316 0.53478 0.114169 11702,T,11702,0.171851,0.0678516,0.295078,0.353316,0.114169,0.0165784,0.127329,0.532516,0.321313
0.8,0.2,F,0.1,4791,0.1,0.8,36,0.0,6.0,,0.03,36,0.368624 0.556887 0.1134 13351,T,13351,0.180361,0.0734027,0.303123,0.368624,0.1134,0.0182758,0.116845,0.517976,0.307992
0.8,0.2,F,0.1,4891,0.1,0.8,37,0.0,6.0,,0.03,37,0.396599 0.582014 0.101704 14144,T,14144,0.211185,0.0755798,0.295249,0.396599,0.101704,0.0151301,0.0975679,0.501697,0.305288
0.8,0.2,F,0.1,5064,0.1,0.8,38,0.0,6.0,,0.03,38,0.418861 0.606889 0.0870737 14660,T,14660,0.230832,0.0667121,0.309345,0.418861,0.0870737,0.0114598,0.0845157,0.494065,0.297135
