Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29589,0.1,0.8,0,0.0,6.0,,0.03,,0.047165 0.09433 0.0 58889,T,58889,0.0,0.0,0.09433,0.047165,0.0,0.0,0.0,0.952835,0.90567
0.8,0.2,F,0.1,26289,0.1,0.8,1,0.0,6.0,,0.03,,0.0778758 0.149146 0.00380935 53290,T,53290,0.00660537,0.00632389,0.136217,0.0778758,0.00380935,9.38262e-05,0.00110715,0.918315,0.849653
0.8,0.2,F,0.1,24786,0.1,0.8,2,0.0,6.0,,0.03,,0.116352 0.219146 0.0071224 50966,T,50966,0.0135581,0.00888828,0.1967,0.116352,0.0071224,9.81046e-05,0.0051603,0.876526,0.775595
0.8,0.2,F,0.1,23456,0.1,0.8,3,0.0,6.0,,0.03,,0.172579 0.31469 0.0126898 49134,T,49134,0.0304677,0.0142671,0.269956,0.172579,0.0126898,0.000203525,0.0107054,0.814731,0.674401
0.8,0.2,F,0.1,21748,0.1,0.8,4,0.0,6.0,,0.03,4,0.246982 0.429698 0.0183181 47303,T,47303,0.0642665,0.0192165,0.346215,0.246982,0.0183181,0.000211403,0.0169968,0.7347,0.553094
0.8,0.2,F,0.1,18987,0.1,0.8,5,0.0,6.0,,0.03,5,0.342617 0.565883 0.0249994 44541,T,44541,0.119351,0.0269864,0.419546,0.342617,0.0249994,0.000516378,0.0219797,0.632384,0.411621
0.8,0.2,F,0.1,15071,0.1,0.8,6,0.0,6.0,,0.03,6,0.450793 0.700348 0.0308874 39903,T,39903,0.201238,0.0365637,0.462547,0.450793,0.0308874,0.00065158,0.023908,0.518319,0.275092
0.8,0.2,F,0.1,10601,0.1,0.8,7,0.0,6.0,,0.03,7,0.567595 0.817317 0.0361075 33331,T,33331,0.317872,0.0460232,0.453422,0.567595,0.0361075,0.000930065,0.0243317,0.396298,0.157421
0.8,0.2,F,0.1,6558,0.1,0.8,8,0.0,6.0,,0.03,8,0.668167 0.889439 0.0411743 26655,T,26655,0.446896,0.0581504,0.384393,0.668167,0.0411743,0.00093791,0.0223223,0.290658,0.0873007
0.8,0.2,F,0.1,3625,0.1,0.8,9,0.0,6.0,,0.03,9,0.740889 0.932137 0.0451553 19289,T,19289,0.54964,0.0644927,0.318005,0.740889,0.0451553,0.00233294,0.021152,0.213956,0.0443776
0.8,0.2,F,0.1,2003,0.1,0.8,10,0.0,6.0,,0.03,10,0.789452 0.957623 0.0463933 13073,T,13073,0.621281,0.0722099,0.264132,0.789452,0.0463933,0.00152987,0.017517,0.164155,0.0233305
0.8,0.2,F,0.1,1154,0.1,0.8,11,0.0,6.0,,0.03,11,0.817819 0.974512 0.0501995 9024,T,9024,0.661126,0.085328,0.228059,0.817819,0.0501995,0.00243794,0.010195,0.131981,0.0128546
0.8,0.2,F,0.1,537,0.1,0.8,12,0.0,6.0,,0.03,12,0.850341 0.974617 0.0525554 5870,T,5870,0.726065,0.0844974,0.164055,0.850341,0.0525554,0.00306644,0.0144804,0.0971039,0.00783646
0.8,0.2,F,0.1,325,0.1,0.8,13,0.0,6.0,,0.03,13,0.849685 0.975698 0.0456046 3333,T,3333,0.723672,0.0684068,0.183618,0.849685,0.0456046,0.00510051,0.0126013,0.10471,0.00660066
0.8,0.2,F,0.1,233,0.1,0.8,14,0.0,6.0,,0.03,14,0.831526 0.952298 0.0596271 2306,T,2306,0.710755,0.0776236,0.16392,0.831526,0.0596271,0.00780572,0.0260191,0.108846,0.0138768
0.8,0.2,F,0.1,220,0.1,0.8,15,0.0,6.0,,0.03,15,0.747379 0.916121 0.107143 1526,T,1526,0.578637,0.134338,0.203145,0.747379,0.107143,0.0190039,0.0419397,0.145478,0.0229358
0.8,0.2,F,0.1,198,0.1,0.8,16,0.0,6.0,,0.03,16,0.732759 0.89955 0.104948 1334,T,1334,0.565967,0.11919,0.214393,0.732759,0.104948,0.0284858,0.0337331,0.162294,0.0382309
0.8,0.2,F,0.1,215,0.1,0.8,17,0.0,6.0,,0.03,17,0.680328 0.868852 0.109745 1098,T,1098,0.491803,0.129326,0.247723,0.680328,0.109745,0.0127505,0.064663,0.209927,0.0537341
0.8,0.2,F,0.1,213,0.1,0.8,18,0.0,6.0,,0.03,18,0.669729 0.850394 0.124672 1143,T,1143,0.489064,0.135608,0.225722,0.669729,0.124672,0.0183727,0.0769904,0.205599,0.0542432
0.8,0.2,F,0.1,239,0.1,0.8,19,0.0,6.0,,0.03,19,0.590054 0.801971 0.165323 1116,T,1116,0.378136,0.143369,0.280466,0.590054,0.165323,0.0448029,0.0976703,0.244624,0.0555556
0.8,0.2,F,0.1,321,0.1,0.8,20,0.0,6.0,,0.03,20,0.524425 0.673851 0.189296 1392,T,1392,0.375,0.116379,0.182471,0.524425,0.189296,0.045977,0.170259,0.286279,0.109914
0.8,0.2,F,0.1,561,0.1,0.8,21,0.0,6.0,,0.03,21,0.348749 0.495647 0.244559 1838,T,1838,0.20185,0.112078,0.181719,0.348749,0.244559,0.0707291,0.235582,0.406692,0.198041
0.8,0.2,F,0.1,896,0.1,0.8,22,0.0,6.0,,0.03,22,0.269025 0.380497 0.244359 2615,T,2615,0.157553,0.0871893,0.135755,0.269025,0.244359,0.0753346,0.25086,0.486616,0.293308
0.8,0.2,F,0.1,1363,0.1,0.8,23,0.0,6.0,,0.03,23,0.225075 0.33605 0.228742 3681,T,3681,0.114099,0.0779679,0.143983,0.225075,0.228742,0.0556914,0.268134,0.546183,0.340125
0.8,0.2,F,0.1,1956,0.1,0.8,24,0.0,6.0,,0.03,24,0.214058 0.324174 0.204799 5022,T,5022,0.103943,0.0740741,0.146157,0.214058,0.204799,0.0426125,0.250299,0.581143,0.382915
