Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29547,0.1,0.8,0,0.0,6.0,,0.03,,0.0472653 0.0945307 0.0 58764,T,58764,0.0,0.0,0.0945307,0.0472653,0.0,0.0,0.0,0.952735,0.905469
0.8,0.2,F,0.1,26339,0.1,0.8,1,0.0,6.0,,0.03,,0.0777268 0.149529 0.00394982 53167,T,53167,0.00592473,0.0065078,0.137096,0.0777268,0.00394982,7.52346e-05,0.00124137,0.918323,0.849155
0.8,0.2,F,0.1,24968,0.1,0.8,2,0.0,6.0,,0.03,,0.116376 0.219125 0.00759439 51222,T,51222,0.013627,0.00935145,0.196146,0.116376,0.00759439,0.000156183,0.00552497,0.87603,0.775194
0.8,0.2,F,0.1,23603,0.1,0.8,3,0.0,6.0,,0.03,,0.170974 0.312585 0.0121416 49417,T,49417,0.0293624,0.0139628,0.26926,0.170974,0.0121416,0.000161888,0.00999656,0.816885,0.677257
0.8,0.2,F,0.1,21940,0.1,0.8,4,0.0,6.0,,0.03,4,0.246985 0.43067 0.0182191 47505,T,47505,0.0632986,0.0194927,0.347879,0.246985,0.0182191,0.000336807,0.016272,0.734796,0.552721
0.8,0.2,F,0.1,19429,0.1,0.8,5,0.0,6.0,,0.03,5,0.343374 0.566464 0.0246889 44919,T,44919,0.120283,0.0270264,0.419154,0.343374,0.0246889,0.000378459,0.0215944,0.631937,0.411563
0.8,0.2,F,0.1,15619,0.1,0.8,6,0.0,6.0,,0.03,6,0.451464 0.700543 0.0321708 41031,T,41031,0.202384,0.0375326,0.460627,0.451464,0.0321708,0.00080427,0.0252005,0.516366,0.273452
0.8,0.2,F,0.1,10811,0.1,0.8,7,0.0,6.0,,0.03,7,0.563473 0.811984 0.0389685 33912,T,33912,0.314962,0.050749,0.446273,0.563473,0.0389685,0.000648738,0.0258905,0.397558,0.161477
0.8,0.2,F,0.1,6498,0.1,0.8,8,0.0,6.0,,0.03,8,0.669069 0.893761 0.0414375 26365,T,26365,0.444377,0.0564005,0.392983,0.669069,0.0414375,0.00166888,0.0231367,0.289494,0.0814337
0.8,0.2,F,0.1,3584,0.1,0.8,9,0.0,6.0,,0.03,9,0.749021 0.940719 0.0417954 19416,T,19416,0.557324,0.0630408,0.320354,0.749021,0.0417954,0.00175113,0.0170478,0.209183,0.0404821
0.8,0.2,F,0.1,1911,0.1,0.8,10,0.0,6.0,,0.03,10,0.802328 0.963368 0.0419092 12885,T,12885,0.641288,0.0677532,0.254327,0.802328,0.0419092,0.00139697,0.0132712,0.155763,0.0219635
0.8,0.2,F,0.1,1010,0.1,0.8,11,0.0,6.0,,0.03,11,0.831633 0.973974 0.0424788 8722,T,8722,0.689291,0.0693648,0.215318,0.831633,0.0424788,0.000917221,0.0137583,0.125889,0.0113506
0.8,0.2,F,0.1,541,0.1,0.8,12,0.0,6.0,,0.03,12,0.8457 0.978411 0.0498004 5512,T,5512,0.71299,0.0832729,0.182148,0.8457,0.0498004,0.00199565,0.0123367,0.104499,0.00725689
0.8,0.2,F,0.1,313,0.1,0.8,13,0.0,6.0,,0.03,13,0.844572 0.965225 0.0571515 3307,T,3307,0.723919,0.0758996,0.165407,0.844572,0.0571515,0.0114908,0.0154218,0.0982764,0.00786211
0.8,0.2,F,0.1,219,0.1,0.8,14,0.0,6.0,,0.03,14,0.829747 0.958871 0.0693448 2091,T,2091,0.700622,0.0884744,0.169775,0.829747,0.0693448,0.0109995,0.0282162,0.100909,0.00191296
0.8,0.2,F,0.1,139,0.1,0.8,15,0.0,6.0,,0.03,15,0.79193 0.933333 0.101754 1425,T,1425,0.650526,0.144561,0.138246,0.79193,0.101754,0.00912281,0.0407018,0.106316,0.0168421
0.8,0.2,F,0.1,139,0.1,0.8,16,0.0,6.0,,0.03,16,0.664817 0.834628 0.173141 901,T,901,0.495006,0.168701,0.170921,0.664817,0.173141,0.0344062,0.108768,0.162042,0.0221976
0.8,0.2,F,0.1,171,0.1,0.8,17,0.0,6.0,,0.03,17,0.508424 0.722022 0.247894 831,T,831,0.294826,0.216606,0.21059,0.508424,0.247894,0.0649819,0.149218,0.243682,0.0637786
0.8,0.2,F,0.1,261,0.1,0.8,18,0.0,6.0,,0.03,18,0.454416 0.678063 0.256885 1053,T,1053,0.230769,0.221273,0.226021,0.454416,0.256885,0.0759734,0.140551,0.288699,0.105413
0.8,0.2,F,0.1,432,0.1,0.8,19,0.0,6.0,,0.03,19,0.387789 0.6 0.254125 1515,T,1515,0.175578,0.19736,0.227063,0.387789,0.254125,0.0475248,0.215842,0.358086,0.136634
0.8,0.2,F,0.1,653,0.1,0.8,20,0.0,6.0,,0.03,20,0.354503 0.531011 0.251274 2354,T,2354,0.177995,0.17842,0.174596,0.354503,0.251274,0.057774,0.208581,0.394223,0.202634
0.8,0.2,F,0.1,1190,0.1,0.8,21,0.0,6.0,,0.03,21,0.294215 0.450437 0.209852 3319,T,3319,0.137993,0.117807,0.194637,0.294215,0.209852,0.0460982,0.209702,0.495933,0.293763
0.8,0.2,F,0.1,1893,0.1,0.8,22,0.0,6.0,,0.03,22,0.278461 0.429799 0.184144 5121,T,5121,0.127124,0.0927553,0.20992,0.278461,0.184144,0.0372974,0.200937,0.537395,0.331966
0.8,0.2,F,0.1,2547,0.1,0.8,23,0.0,6.0,,0.03,23,0.278456 0.443535 0.163741 6721,T,6721,0.113376,0.103705,0.226454,0.278456,0.163741,0.0246987,0.174379,0.557804,0.357387
0.8,0.2,F,0.1,3238,0.1,0.8,24,0.0,6.0,,0.03,24,0.280063 0.439758 0.145421 8582,T,8582,0.120368,0.08646,0.232929,0.280063,0.145421,0.0194593,0.165463,0.574516,0.37532
0.8,0.2,F,0.1,3935,0.1,0.8,25,0.0,6.0,,0.03,25,0.29198 0.450581 0.135525 10249,T,10249,0.133379,0.0768855,0.240316,0.29198,0.135525,0.0214655,0.151234,0.572495,0.37672
0.8,0.2,F,0.1,4736,0.1,0.8,26,0.0,6.0,,0.03,26,0.295628 0.451754 0.130892 12602,T,12602,0.139502,0.0725282,0.239724,0.295628,0.130892,0.0211871,0.146881,0.57348,0.380178
0.8,0.2,F,0.1,5629,0.1,0.8,27,0.0,6.0,,0.03,27,0.308526 0.465005 0.130016 15002,T,15002,0.152046,0.0733236,0.239635,0.308526,0.130016,0.0191308,0.148447,0.561458,0.367418
0.8,0.2,F,0.1,6119,0.1,0.8,28,0.0,6.0,,0.03,28,0.316743 0.471103 0.130112 16455,T,16455,0.162382,0.0740808,0.23464,0.316743,0.130112,0.021574,0.142996,0.553145,0.364327
0.8,0.2,F,0.1,6483,0.1,0.8,29,0.0,6.0,,0.03,29,0.320103 0.481674 0.128515 17107,T,17107,0.158532,0.0758169,0.247326,0.320103,0.128515,0.0177705,0.145671,0.551382,0.354884
0.8,0.2,F,0.1,6895,0.1,0.8,30,0.0,6.0,,0.03,30,0.330941 0.506503 0.132657 18529,T,18529,0.155378,0.0840304,0.267095,0.330941,0.132657,0.0179718,0.14534,0.536402,0.330185
0.8,0.2,F,0.1,6688,0.1,0.8,31,0.0,6.0,,0.03,31,0.355528 0.535646 0.133911 18796,T,18796,0.17541,0.0879442,0.272292,0.355528,0.133911,0.0187274,0.142424,0.510561,0.303203
0.8,0.2,F,0.1,6644,0.1,0.8,32,0.0,6.0,,0.03,32,0.389561 0.569722 0.130434 19255,T,19255,0.2094,0.0897949,0.270527,0.389561,0.130434,0.0175539,0.135965,0.480005,0.276759
0.8,0.2,F,0.1,6486,0.1,0.8,33,0.0,6.0,,0.03,33,0.398724 0.575202 0.12782 19195,T,19195,0.222245,0.0890857,0.263871,0.398724,0.12782,0.0178692,0.130815,0.473457,0.276114
0.8,0.2,F,0.1,6311,0.1,0.8,34,0.0,6.0,,0.03,34,0.40595 0.573176 0.127816 19043,T,19043,0.238723,0.0875387,0.246915,0.40595,0.127816,0.0168566,0.13438,0.466234,0.275587
0.8,0.2,F,0.1,6223,0.1,0.8,35,0.0,6.0,,0.03,35,0.390009 0.558863 0.130501 18747,T,18747,0.221155,0.0977756,0.239932,0.390009,0.130501,0.0183496,0.126527,0.47949,0.296261
0.8,0.2,F,0.1,6056,0.1,0.8,36,0.0,6.0,,0.03,36,0.401059 0.562521 0.119854 18122,T,18122,0.239598,0.0871317,0.235791,0.401059,0.119854,0.0174374,0.117702,0.479086,0.30234
0.8,0.2,F,0.1,5606,0.1,0.8,37,0.0,6.0,,0.03,37,0.401761 0.56418 0.11728 17147,T,17147,0.239342,0.0870123,0.237826,0.401761,0.11728,0.0141716,0.119205,0.480959,0.302444
0.8,0.2,F,0.1,5163,0.1,0.8,38,0.0,6.0,,0.03,38,0.403438 0.574749 0.112059 15358,T,15358,0.232127,0.0865347,0.256088,0.403438,0.112059,0.0132179,0.111147,0.484503,0.300886
0.8,0.2,F,0.1,4589,0.1,0.8,39,0.0,6.0,,0.03,39,0.435276 0.600545 0.102432 14307,T,14307,0.270008,0.0793318,0.251206,0.435276,0.102432,0.0123716,0.10079,0.462291,0.286293
0.8,0.2,F,0.1,4041,0.1,0.8,40,0.0,6.0,,0.03,40,0.438388 0.610446 0.101262 12522,T,12522,0.266331,0.0836927,0.260422,0.438388,0.101262,0.00918384,0.100463,0.46035,0.279907
0.8,0.2,F,0.1,3365,0.1,0.8,41,0.0,6.0,,0.03,41,0.453573 0.641812 0.0989964 10662,T,10662,0.265335,0.0890077,0.28747,0.453573,0.0989964,0.0102232,0.0885387,0.44743,0.259426
0.8,0.2,F,0.1,2822,0.1,0.8,42,0.0,6.0,,0.03,42,0.484804 0.685601 0.0994026 9542,T,9542,0.284008,0.098931,0.302662,0.484804,0.0994026,0.00932719,0.0812199,0.415793,0.223852
0.8,0.2,F,0.1,2324,0.1,0.8,43,0.0,6.0,,0.03,43,0.523477 0.730769 0.0990051 8242,T,8242,0.316185,0.10131,0.313273,0.523477,0.0990051,0.011041,0.0746178,0.377518,0.183572
0.8,0.2,F,0.1,1970,0.1,0.8,44,0.0,6.0,,0.03,44,0.546115 0.757698 0.0982734 6950,T,6950,0.334532,0.105036,0.318129,0.546115,0.0982734,0.0105036,0.0705036,0.355612,0.161295
0.8,0.2,F,0.1,1550,0.1,0.8,45,0.0,6.0,,0.03,45,0.581692 0.795286 0.103003 6194,T,6194,0.368098,0.117695,0.309493,0.581692,0.103003,0.0103326,0.0676461,0.315305,0.126736
