Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29060,0.1,0.8,0,0.0,6.0,,0.03,,0.047551 0.0951019 0.0 58411,T,58411,0.0,0.0,0.0951019,0.047551,0.0,0.0,0.0,0.952449,0.904898
0.8,0.2,F,0.1,26254,0.1,0.8,1,0.0,6.0,,0.03,,0.0774201 0.148322 0.00419406 52932,T,52932,0.0065178,0.00702788,0.134777,0.0774201,0.00419406,9.44608e-05,0.00117131,0.918386,0.850412
0.8,0.2,F,0.1,25024,0.1,0.8,2,0.0,6.0,,0.03,,0.115953 0.218367 0.00777511 51189,T,51189,0.0135381,0.00945516,0.195374,0.115953,0.00777511,0.000136748,0.00582156,0.876272,0.775674
0.8,0.2,F,0.1,23577,0.1,0.8,3,0.0,6.0,,0.03,,0.17159 0.312045 0.012775 49589,T,49589,0.0311359,0.0136926,0.267217,0.17159,0.012775,0.000221823,0.0114138,0.815635,0.676319
0.8,0.2,F,0.1,21965,0.1,0.8,4,0.0,6.0,,0.03,4,0.242309 0.423683 0.0187737 47460,T,47460,0.0609355,0.0204172,0.34233,0.242309,0.0187737,0.000294985,0.0165402,0.738917,0.559482
0.8,0.2,F,0.1,19235,0.1,0.8,5,0.0,6.0,,0.03,5,0.331273 0.552244 0.0254851 44732,T,44732,0.110301,0.0276983,0.414245,0.331273,0.0254851,0.000491818,0.0222883,0.643242,0.424975
0.8,0.2,F,0.1,15549,0.1,0.8,6,0.0,6.0,,0.03,6,0.438718 0.681615 0.0328586 40583,T,40583,0.195821,0.0362221,0.449572,0.438718,0.0328586,0.000837789,0.0278195,0.528423,0.289727
0.8,0.2,F,0.1,11305,0.1,0.8,7,0.0,6.0,,0.03,7,0.545344 0.791408 0.0393743 34426,T,34426,0.29928,0.0485389,0.443589,0.545344,0.0393743,0.000987626,0.0282345,0.415282,0.17937
0.8,0.2,F,0.1,7417,0.1,0.8,8,0.0,6.0,,0.03,8,0.638844 0.869554 0.0431007 27981,T,27981,0.408134,0.0581823,0.403238,0.638844,0.0431007,0.000929202,0.0261606,0.318055,0.103356
0.8,0.2,F,0.1,4313,0.1,0.8,9,0.0,6.0,,0.03,9,0.719948 0.917448 0.048298 21005,T,21005,0.522447,0.0680314,0.32697,0.719948,0.048298,0.00214235,0.0242799,0.231754,0.0561295
0.8,0.2,F,0.1,2461,0.1,0.8,10,0.0,6.0,,0.03,10,0.77086 0.949095 0.0481597 14753,T,14753,0.592625,0.0727988,0.283671,0.77086,0.0481597,0.00223683,0.019047,0.18098,0.0296211
0.8,0.2,F,0.1,1313,0.1,0.8,11,0.0,6.0,,0.03,11,0.81416 0.966602 0.0487305 10240,T,10240,0.661719,0.0766602,0.228223,0.81416,0.0487305,0.00283203,0.0151367,0.137109,0.0154297
