Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29637,0.1,0.8,0,0.0,6.0,0.03,,0.0469014 0.0938028 0.0 59220,T,,59220,0.0,0.0,0.0938028,0.0469014,0.0,0.0,0.0,0.953099,0.906197
0.8,0.2,F,0.1,26159,0.1,0.8,1,0.0,6.0,0.03,,0.0774454 0.148223 0.00369191 53089,T,,53089,0.00666805,0.00606529,0.135489,0.0774454,0.00369191,3.76726e-05,0.0012432,0.918863,0.850496
0.8,0.2,F,0.1,24820,0.1,0.8,2,0.0,6.0,0.03,,0.118753 0.223089 0.00821968 51401,T,,51401,0.0144161,0.00998035,0.198693,0.118753,0.00821968,0.000136184,0.00618665,0.873028,0.770588
0.8,0.2,F,0.1,23530,0.1,0.8,3,0.0,6.0,0.03,3,0.173175 0.316966 0.0128263 49040,T,,49040,0.0293842,0.0141313,0.27345,0.173175,0.0128263,0.000224307,0.0110726,0.813999,0.671737
0.8,0.2,F,0.1,21852,0.1,0.8,4,0.0,6.0,0.03,4,0.248602 0.433821 0.0187108 47379,T,,47379,0.0633825,0.0201988,0.35024,0.248602,0.0187108,0.00029549,0.0166318,0.732687,0.549252
0.8,0.2,F,0.1,18924,0.1,0.8,5,0.0,6.0,0.03,5,0.345468 0.571795 0.025654 44418,T,,44418,0.119141,0.0299428,0.422712,0.345468,0.025654,0.000315188,0.0207348,0.628878,0.407155
0.8,0.2,F,0.1,14969,0.1,0.8,6,0.0,6.0,0.03,6,0.454974 0.703022 0.0320952 39710,T,,39710,0.206925,0.0373206,0.458776,0.454974,0.0320952,0.000730295,0.0254092,0.512931,0.270839
0.8,0.2,F,0.1,10573,0.1,0.8,7,0.0,6.0,0.03,7,0.567656 0.814106 0.0375718 33589,T,,33589,0.321206,0.0484087,0.444491,0.567656,0.0375718,0.000952693,0.0248296,0.394772,0.160112
0.8,0.2,F,0.1,6502,0.1,0.8,8,0.0,6.0,0.03,8,0.673236 0.892322 0.0408148 26412,T,,26412,0.45415,0.056073,0.382099,0.673236,0.0408148,0.00124943,0.0230577,0.28595,0.0833712
0.8,0.2,F,0.1,3556,0.1,0.8,9,0.0,6.0,0.03,9,0.744942 0.936453 0.0448207 18931,T,,18931,0.553431,0.0663462,0.316676,0.744942,0.0448207,0.00200729,0.0192805,0.210237,0.0422587
0.8,0.2,F,0.1,1871,0.1,0.8,10,0.0,6.0,0.03,10,0.797177 0.963438 0.0454474 12718,T,,12718,0.630917,0.0709231,0.261598,0.797177,0.0454474,0.00212298,0.0157257,0.157375,0.0187136
0.8,0.2,F,0.1,862,0.1,0.8,11,0.0,6.0,0.03,11,0.843683 0.978188 0.0461859 8390,T,,8390,0.709178,0.0789035,0.190107,0.843683,0.0461859,0.00214541,0.00917759,0.110131,0.0104887
0.8,0.2,F,0.1,467,0.1,0.8,12,0.0,6.0,0.03,12,0.842022 0.977297 0.0546563 4757,T,,4757,0.706748,0.0956485,0.1749,0.842022,0.0546563,0.00189195,0.00988018,0.103321,0.0109313
0.8,0.2,F,0.1,305,0.1,0.8,13,0.0,6.0,0.03,13,0.838058 0.97263 0.0599544 3069,T,,3069,0.703486,0.0918866,0.177256,0.838058,0.0599544,0.00716846,0.0136852,0.101988,0.00651678
0.8,0.2,F,0.1,196,0.1,0.8,14,0.0,6.0,0.03,14,0.828392 0.959296 0.0648241 1990,T,,1990,0.697487,0.0954774,0.166332,0.828392,0.0648241,0.00703518,0.0201005,0.106784,0.0135678
0.8,0.2,F,0.1,174,0.1,0.8,15,0.0,6.0,0.03,15,0.747627 0.889241 0.10087 1264,T,,1264,0.606013,0.0949367,0.188291,0.747627,0.10087,0.0237342,0.0593354,0.151503,0.0276899
0.8,0.2,F,0.1,212,0.1,0.8,16,0.0,6.0,0.03,16,0.61375 0.769167 0.17 1200,T,,1200,0.458333,0.1375,0.173333,0.61375,0.17,0.045,0.1125,0.21625,0.0733333
0.8,0.2,F,0.1,349,0.1,0.8,17,0.0,6.0,0.03,17,0.476911 0.639667 0.190008 1321,T,,1321,0.314156,0.12869,0.196821,0.476911,0.190008,0.0416351,0.168055,0.333081,0.150643
0.8,0.2,F,0.1,516,0.1,0.8,18,0.0,6.0,0.03,18,0.421053 0.623355 0.206963 1824,T,,1824,0.21875,0.168311,0.236294,0.421053,0.206963,0.0274123,0.190789,0.371985,0.158443
0.8,0.2,F,0.1,707,0.1,0.8,19,0.0,6.0,0.03,19,0.374232 0.582968 0.210931 2278,T,,2278,0.165496,0.152327,0.265145,0.374232,0.210931,0.0456541,0.178227,0.414838,0.193152
0.8,0.2,F,0.1,936,0.1,0.8,20,0.0,6.0,0.03,20,0.406313 0.614171 0.183512 2978,T,,2978,0.198455,0.134318,0.281397,0.406313,0.183512,0.034587,0.163533,0.410175,0.18771
0.8,0.2,F,0.1,1165,0.1,0.8,21,0.0,6.0,0.03,21,0.415855 0.633658 0.179248 3696,T,,3696,0.198052,0.135823,0.299784,0.415855,0.179248,0.030303,0.162067,0.404897,0.173972
0.8,0.2,F,0.1,1343,0.1,0.8,22,0.0,6.0,0.03,22,0.454986 0.675105 0.165199 4543,T,,4543,0.234867,0.138455,0.301783,0.454986,0.165199,0.027735,0.136474,0.379815,0.160687
0.8,0.2,F,0.1,1502,0.1,0.8,23,0.0,6.0,0.03,23,0.476177 0.713536 0.153345 5142,T,,5142,0.238818,0.15422,0.320498,0.476177,0.153345,0.0223648,0.10774,0.370478,0.156359
0.8,0.2,F,0.1,1529,0.1,0.8,24,0.0,6.0,0.03,24,0.507433 0.716282 0.140516 5583,T,,5583,0.298585,0.124127,0.29357,0.507433,0.140516,0.0245388,0.107827,0.352051,0.151352
0.8,0.2,F,0.1,1524,0.1,0.8,25,0.0,6.0,0.03,25,0.498743 0.708154 0.144486 5568,T,,5568,0.289332,0.12518,0.293642,0.498743,0.144486,0.0237069,0.116379,0.356771,0.15176
0.8,0.2,F,0.1,1669,0.1,0.8,26,0.0,6.0,0.03,26,0.511477 0.72006 0.140136 6012,T,,6012,0.302894,0.128244,0.288922,0.511477,0.140136,0.0209581,0.110113,0.348387,0.148869
0.8,0.2,F,0.1,1713,0.1,0.8,27,0.0,6.0,0.03,27,0.515978 0.710094 0.144953 6509,T,,6509,0.321862,0.118451,0.26978,0.515978,0.144953,0.0236595,0.124136,0.339069,0.142111
