Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29133,0.1,0.8,0,0.0,6.0,0.03,,0.0476677 0.0953353 0.0 58268,T,,58268,0.0,0.0,0.0953353,0.0476677,0.0,0.0,0.0,0.952332,0.904665
0.8,0.2,F,0.1,25979,0.1,0.8,1,0.0,6.0,0.03,,0.077879 0.150252 0.00380708 52665,T,,52665,0.0055065,0.00600019,0.138745,0.077879,0.00380708,0.000132916,0.00134814,0.918314,0.848267
0.8,0.2,F,0.1,24836,0.1,0.8,2,0.0,6.0,0.03,,0.118361 0.22288 0.00796707 50646,T,,50646,0.0138412,0.00961576,0.199423,0.118361,0.00796707,9.87245e-05,0.00612092,0.873672,0.7709
0.8,0.2,F,0.1,23768,0.1,0.8,3,0.0,6.0,0.03,,0.173728 0.315704 0.0131067 49822,T,,49822,0.031753,0.0138292,0.270122,0.173728,0.0131067,0.000220786,0.0119425,0.813165,0.672133
0.8,0.2,F,0.1,21910,0.1,0.8,4,0.0,6.0,0.03,4,0.248685 0.433262 0.0185684 47904,T,,47904,0.0641074,0.0202071,0.348948,0.248685,0.0185684,0.000229626,0.0164704,0.732747,0.550038
0.8,0.2,F,0.1,18978,0.1,0.8,5,0.0,6.0,0.03,5,0.337314 0.559195 0.0248756 43999,T,,43999,0.115434,0.027137,0.416623,0.337314,0.0248756,0.000340917,0.0219323,0.63781,0.418532
0.8,0.2,F,0.1,15499,0.1,0.8,6,0.0,6.0,0.03,6,0.443287 0.691044 0.0319048 40229,T,,40229,0.195531,0.0368391,0.458674,0.443287,0.0319048,0.00104402,0.0248825,0.524808,0.28303
0.8,0.2,F,0.1,11035,0.1,0.8,7,0.0,6.0,0.03,7,0.557211 0.808359 0.0347303 34408,T,,34408,0.306063,0.0459777,0.456318,0.557211,0.0347303,0.000668449,0.022146,0.408059,0.168827
0.8,0.2,F,0.1,6942,0.1,0.8,8,0.0,6.0,0.03,8,0.661901 0.88652 0.038663 27106,T,,27106,0.437283,0.0542315,0.395005,0.661901,0.038663,0.000922305,0.0212499,0.299436,0.0913082
0.8,0.2,F,0.1,3859,0.1,0.8,9,0.0,6.0,0.03,9,0.741457 0.936031 0.0412955 19869,T,,19869,0.546882,0.0628114,0.326338,0.741457,0.0412955,0.00105692,0.0176657,0.217248,0.0452464
0.8,0.2,F,0.1,2033,0.1,0.8,10,0.0,6.0,0.03,10,0.801409 0.960104 0.0408973 13485,T,,13485,0.642714,0.0615499,0.25584,0.801409,0.0408973,0.00266963,0.0149055,0.157694,0.0223211
0.8,0.2,F,0.1,1091,0.1,0.8,11,0.0,6.0,0.03,11,0.824958 0.976338 0.0465352 8875,T,,8875,0.673577,0.0776338,0.225127,0.824958,0.0465352,0.00259155,0.0102535,0.128507,0.0108169
0.8,0.2,F,0.1,514,0.1,0.8,12,0.0,6.0,0.03,12,0.86018 0.98168 0.0429485 5786,T,,5786,0.73868,0.0744901,0.16851,0.86018,0.0429485,0.00103699,0.00933287,0.0968718,0.00795022
0.8,0.2,F,0.1,314,0.1,0.8,13,0.0,6.0,0.03,13,0.853818 0.972377 0.0418994 3222,T,,3222,0.735258,0.0667287,0.170391,0.853818,0.0418994,0.00341403,0.0102421,0.104283,0.0139665
0.8,0.2,F,0.1,220,0.1,0.8,14,0.0,6.0,0.03,14,0.833333 0.966184 0.0492754 2070,T,,2070,0.700483,0.0782609,0.18744,0.833333,0.0492754,0.00289855,0.0144928,0.117391,0.0164251
0.8,0.2,F,0.1,172,0.1,0.8,15,0.0,6.0,0.03,15,0.781968 0.926724 0.0686063 1392,T,,1392,0.637213,0.0883621,0.201149,0.781968,0.0686063,0.00862069,0.0316092,0.149425,0.033046
0.8,0.2,F,0.1,193,0.1,0.8,16,0.0,6.0,0.03,16,0.721128 0.871083 0.0734109 1117,T,,1117,0.571173,0.0662489,0.233662,0.721128,0.0734109,0.0080573,0.0644584,0.205461,0.0564011
0.8,0.2,F,0.1,287,0.1,0.8,17,0.0,6.0,0.03,17,0.616237 0.77897 0.112661 1398,T,,1398,0.453505,0.0979971,0.227468,0.616237,0.112661,0.0193133,0.0886981,0.271102,0.113019
0.8,0.2,F,0.1,434,0.1,0.8,18,0.0,6.0,0.03,18,0.510133 0.679544 0.129196 1579,T,,1579,0.340722,0.0766308,0.262191,0.510133,0.129196,0.0215326,0.138695,0.360671,0.160228
0.8,0.2,F,0.1,692,0.1,0.8,19,0.0,6.0,0.03,19,0.430303 0.628438 0.149883 2145,T,,2145,0.232168,0.111422,0.284848,0.430303,0.149883,0.0205128,0.147319,0.419814,0.20373
0.8,0.2,F,0.1,847,0.1,0.8,20,0.0,6.0,0.03,20,0.463975 0.658581 0.131608 2762,T,,2762,0.26937,0.0988414,0.290369,0.463975,0.131608,0.0155684,0.133237,0.404417,0.192614
0.8,0.2,F,0.1,950,0.1,0.8,21,0.0,6.0,0.03,21,0.461064 0.6817 0.139682 3082,T,,3082,0.240428,0.128488,0.312784,0.461064,0.139682,0.0201168,0.110642,0.399254,0.187541
0.8,0.2,F,0.1,1001,0.1,0.8,22,0.0,6.0,0.03,22,0.49194 0.707014 0.13108 3536,T,,3536,0.276867,0.123586,0.306561,0.49194,0.13108,0.018948,0.100679,0.37698,0.17336
0.8,0.2,F,0.1,1148,0.1,0.8,23,0.0,6.0,0.03,23,0.505578 0.721602 0.111308 3944,T,,3944,0.289554,0.102434,0.329615,0.505578,0.111308,0.0131846,0.0938134,0.383114,0.1714
0.8,0.2,F,0.1,1310,0.1,0.8,24,0.0,6.0,0.03,24,0.514161 0.727428 0.114246 4696,T,,4696,0.300894,0.109029,0.317504,0.514161,0.114246,0.0106474,0.0981687,0.371593,0.163756
0.8,0.2,F,0.1,1500,0.1,0.8,25,0.0,6.0,0.03,25,0.512153 0.73933 0.124976 5225,T,,5225,0.284976,0.119426,0.334928,0.512153,0.124976,0.0197129,0.0911005,0.362871,0.149856
0.8,0.2,F,0.1,1432,0.1,0.8,26,0.0,6.0,0.03,26,0.545782 0.767304 0.124459 5548,T,,5548,0.324261,0.130137,0.312906,0.545782,0.124459,0.0178443,0.083093,0.329758,0.131759
0.8,0.2,F,0.1,1411,0.1,0.8,27,0.0,6.0,0.03,27,0.559586 0.762198 0.118357 5513,T,,5513,0.356974,0.119536,0.285688,0.559586,0.118357,0.0155995,0.0859786,0.322057,0.136223
0.8,0.2,F,0.1,1399,0.1,0.8,28,0.0,6.0,0.03,28,0.554323 0.756579 0.121241 5320,T,,5320,0.352068,0.117857,0.286654,0.554323,0.121241,0.018985,0.0866541,0.324436,0.137782
0.8,0.2,F,0.1,1346,0.1,0.8,29,0.0,6.0,0.03,29,0.562123 0.746935 0.110796 5465,T,,5465,0.37731,0.112168,0.257457,0.562123,0.110796,0.0128088,0.083806,0.327081,0.15645
0.8,0.2,F,0.1,1374,0.1,0.8,30,0.0,6.0,0.03,30,0.541418 0.739766 0.107534 5203,T,,5203,0.343071,0.10936,0.287334,0.541418,0.107534,0.0124928,0.0807227,0.351047,0.167019
0.8,0.2,F,0.1,1428,0.1,0.8,31,0.0,6.0,0.03,31,0.531334 0.715896 0.103076 5234,T,,5234,0.346771,0.0953382,0.273787,0.531334,0.103076,0.0116546,0.0875048,0.36559,0.184945
0.8,0.2,F,0.1,1571,0.1,0.8,32,0.0,6.0,0.03,32,0.497125 0.686573 0.109978 5392,T,,5392,0.307678,0.107567,0.271328,0.497125,0.109978,0.00871662,0.0949555,0.392897,0.209755
0.8,0.2,F,0.1,1599,0.1,0.8,33,0.0,6.0,0.03,33,0.494096 0.688376 0.107196 5420,T,,5420,0.299815,0.102399,0.286162,0.494096,0.107196,0.0103321,0.0913284,0.398708,0.209963
0.8,0.2,F,0.1,1579,0.1,0.8,34,0.0,6.0,0.03,34,0.491664 0.699148 0.102723 5398,T,,5398,0.284179,0.104298,0.310671,0.491664,0.102723,0.00889218,0.0833642,0.405613,0.208596
0.8,0.2,F,0.1,1506,0.1,0.8,35,0.0,6.0,0.03,35,0.528105 0.736046 0.0996462 5088,T,,5088,0.320165,0.104953,0.310928,0.528105,0.0996462,0.00628931,0.081761,0.372248,0.175904
0.8,0.2,F,0.1,1384,0.1,0.8,36,0.0,6.0,0.03,36,0.552063 0.757929 0.105178 5234,T,,5234,0.346198,0.101834,0.309897,0.552063,0.105178,0.0124188,0.0836836,0.342759,0.145969
0.8,0.2,F,0.1,1284,0.1,0.8,37,0.0,6.0,0.03,37,0.556113 0.764054 0.115569 4785,T,,4785,0.348171,0.108673,0.30721,0.556113,0.115569,0.015883,0.0907001,0.328318,0.129363
