Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29583,0.1,0.8,0,0.0,6.0,,0.03,,0.0468436 0.0936873 0.0 59293,T,59293,0.0,0.0,0.0936873,0.0468436,0.0,0.0,0.0,0.953156,0.906313
0.8,0.2,F,0.1,25996,0.1,0.8,1,0.0,6.0,,0.03,,0.0782048 0.150846 0.00409712 52842,T,52842,0.00556376,0.00666137,0.138621,0.0782048,0.00409712,7.56974e-05,0.00138148,0.917698,0.847697
0.8,0.2,F,0.1,24507,0.1,0.8,2,0.0,6.0,,0.03,,0.120203 0.224591 0.00717953 50839,T,50839,0.0158146,0.0084384,0.200338,0.120203,0.00717953,9.83497e-05,0.00572395,0.872617,0.769586
0.8,0.2,F,0.1,23334,0.1,0.8,3,0.0,6.0,,0.03,3,0.178207 0.323818 0.0128014 48901,T,48901,0.0325965,0.0137625,0.277459,0.178207,0.0128014,0.000122697,0.0115949,0.808992,0.664465
0.8,0.2,F,0.1,21629,0.1,0.8,4,0.0,6.0,,0.03,4,0.254183 0.442006 0.0193172 47393,T,47393,0.06636,0.021691,0.353955,0.254183,0.0193172,0.000189901,0.0165636,0.7265,0.54124
0.8,0.2,F,0.1,18548,0.1,0.8,5,0.0,6.0,,0.03,5,0.348752 0.576596 0.0251738 43736,T,43736,0.120907,0.0293122,0.426376,0.348752,0.0251738,0.00041156,0.0202122,0.626075,0.40278
0.8,0.2,F,0.1,14479,0.1,0.8,6,0.0,6.0,,0.03,6,0.461529 0.706608 0.0316643 39224,T,39224,0.216449,0.0373241,0.452835,0.461529,0.0316643,0.000586376,0.0248317,0.506807,0.267974
0.8,0.2,F,0.1,10290,0.1,0.8,7,0.0,6.0,,0.03,7,0.566552 0.812888 0.0384627 32681,T,32681,0.320217,0.046449,0.446223,0.566552,0.0384627,0.00119335,0.0280897,0.394985,0.157829
0.8,0.2,F,0.1,6470,0.1,0.8,8,0.0,6.0,,0.03,8,0.667372 0.893667 0.042758 26229,T,26229,0.441077,0.059743,0.392848,0.667372,0.042758,0.00163941,0.0224942,0.28987,0.0821991
0.8,0.2,F,0.1,3504,0.1,0.8,9,0.0,6.0,,0.03,9,0.750424 0.938951 0.0447271 18870,T,18870,0.561897,0.0680445,0.309009,0.750424,0.0447271,0.00143084,0.018548,0.204849,0.0410705
0.8,0.2,F,0.1,1861,0.1,0.8,10,0.0,6.0,,0.03,10,0.79649 0.960909 0.0457918 12535,T,12535,0.63207,0.0710012,0.257838,0.79649,0.0457918,0.00271241,0.0151576,0.157718,0.0212206
