Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29318,0.1,0.8,0,0.0,6.0,0.03,,0.0472814 0.0945628 0.0 58744,T,,58744,0.0,0.0,0.0945628,0.0472814,0.0,0.0,0.0,0.952719,0.905437
0.8,0.2,F,0.1,26109,0.1,0.8,1,0.0,6.0,0.03,,0.0773995 0.148786 0.00407815 52720,T,,52720,0.0060129,0.00669575,0.136077,0.0773995,0.00407815,3.79363e-05,0.00138467,0.918522,0.849791
0.8,0.2,F,0.1,24979,0.1,0.8,2,0.0,6.0,0.03,,0.119549 0.226215 0.00742729 51230,T,,51230,0.0128831,0.00942807,0.203904,0.119549,0.00742729,5.85594e-05,0.00530939,0.873024,0.768417
0.8,0.2,F,0.1,23503,0.1,0.8,3,0.0,6.0,0.03,,0.17647 0.322257 0.0127544 49473,T,,49473,0.0306834,0.0148162,0.276757,0.17647,0.0127544,0.000121278,0.0104501,0.810776,0.667172
0.8,0.2,F,0.1,21796,0.1,0.8,4,0.0,6.0,0.03,4,0.251876 0.441896 0.0186967 47174,T,,47174,0.0618561,0.0203502,0.35969,0.251876,0.0186967,0.000190783,0.0166617,0.729427,0.541252
0.8,0.2,F,0.1,19031,0.1,0.8,5,0.0,6.0,0.03,5,0.348834 0.572082 0.0263616 44838,T,,44838,0.125585,0.0293724,0.417124,0.348834,0.0263616,0.000401445,0.0225478,0.624805,0.404969
0.8,0.2,F,0.1,14960,0.1,0.8,6,0.0,6.0,0.03,6,0.457078 0.703613 0.0330075 39688,T,,39688,0.210542,0.0375428,0.455528,0.457078,0.0330075,0.000503931,0.0274642,0.509915,0.268419
0.8,0.2,F,0.1,10554,0.1,0.8,7,0.0,6.0,0.03,7,0.56802 0.812648 0.0403609 33696,T,,33696,0.323392,0.050095,0.439162,0.56802,0.0403609,0.00124644,0.0281339,0.391619,0.157971
0.8,0.2,F,0.1,6441,0.1,0.8,8,0.0,6.0,0.03,8,0.6628 0.889636 0.0433505 26032,T,,26032,0.435963,0.0606945,0.392978,0.6628,0.0433505,0.00142133,0.0231638,0.29385,0.085779
0.8,0.2,F,0.1,3737,0.1,0.8,9,0.0,6.0,0.03,9,0.737175 0.93006 0.0429509 19045,T,,19045,0.54429,0.0637963,0.321974,0.737175,0.0429509,0.00173274,0.0186401,0.219874,0.0495668
0.8,0.2,F,0.1,1981,0.1,0.8,10,0.0,6.0,0.03,10,0.790993 0.956197 0.041455 12990,T,,12990,0.625789,0.0662048,0.264203,0.790993,0.041455,0.00184758,0.01301,0.167552,0.0289453
0.8,0.2,F,0.1,1113,0.1,0.8,11,0.0,6.0,0.03,11,0.829187 0.973174 0.0413848 8723,T,,8723,0.6852,0.0697008,0.218274,0.829187,0.0413848,0.00137567,0.0103176,0.129428,0.0151324
0.8,0.2,F,0.1,615,0.1,0.8,12,0.0,6.0,0.03,12,0.845193 0.977718 0.0398023 5565,T,,5565,0.712668,0.0655885,0.199461,0.845193,0.0398023,0.00233603,0.00934412,0.115004,0.010602
0.8,0.2,F,0.1,294,0.1,0.8,13,0.0,6.0,0.03,13,0.864226 0.976939 0.0364658 3469,T,,3469,0.751513,0.0576535,0.167772,0.864226,0.0364658,0.00345921,0.00835976,0.0993082,0.0112424
0.8,0.2,F,0.1,200,0.1,0.8,14,0.0,6.0,0.03,14,0.848224 0.972808 0.041343 1802,T,,1802,0.72364,0.0693674,0.1798,0.848224,0.041343,0.000554939,0.0122087,0.110433,0.0144284
0.8,0.2,F,0.1,133,0.1,0.8,15,0.0,6.0,0.03,15,0.842857 0.972894 0.0549451 1365,T,,1365,0.712821,0.0813187,0.178755,0.842857,0.0549451,0.00512821,0.018315,0.102198,0.003663
0.8,0.2,F,0.1,59,0.1,0.8,16,0.0,6.0,0.03,16,0.810526 0.918421 0.0894737 760,T,,760,0.702632,0.0881579,0.127632,0.810526,0.0894737,0.0276316,0.0355263,0.1,0.0184211
0.8,0.2,F,0.1,65,0.1,0.8,17,0.0,6.0,0.03,17,0.593968 0.665893 0.179814 431,T,,431,0.522042,0.0904872,0.0533643,0.593968,0.179814,0.0556845,0.157773,0.226218,0.12065
0.8,0.2,F,0.1,158,0.1,0.8,18,0.0,6.0,0.03,18,0.146028 0.175234 0.346963 428,T,,428,0.116822,0.0397196,0.0186916,0.146028,0.346963,0.147196,0.359813,0.507009,0.317757
0.8,0.2,F,0.1,396,0.1,0.8,19,0.0,6.0,0.03,19,0.0567118 0.0967742 0.335588 961,T,,961,0.0166493,0.0270552,0.0530697,0.0567118,0.335588,0.131113,0.381894,0.6077,0.390219
0.8,0.2,F,0.1,797,0.1,0.8,20,0.0,6.0,0.03,20,0.0588832 0.105584 0.338579 1970,T,,1970,0.0121827,0.0456853,0.0477157,0.0588832,0.338579,0.121827,0.387817,0.602538,0.384772
0.8,0.2,F,0.1,1356,0.1,0.8,21,0.0,6.0,0.03,21,0.0618492 0.111076 0.304355 3169,T,,3169,0.0126223,0.0419691,0.0564847,0.0618492,0.304355,0.100663,0.365415,0.633796,0.422846
0.8,0.2,F,0.1,2384,0.1,0.8,22,0.0,6.0,0.03,22,0.0683761 0.123477 0.266321 5499,T,,5499,0.0132751,0.0381888,0.0720131,0.0683761,0.266321,0.0789234,0.336607,0.665303,0.460993
0.8,0.2,F,0.1,3589,0.1,0.8,23,0.0,6.0,0.03,23,0.0882069 0.157564 0.231815 8276,T,,8276,0.0188497,0.0463992,0.0923151,0.0882069,0.231815,0.0612615,0.294708,0.679978,0.486467
0.8,0.2,F,0.1,5113,0.1,0.8,24,0.0,6.0,0.03,24,0.0962918 0.168554 0.205722 11569,T,,11569,0.0240297,0.0478866,0.0966376,0.0962918,0.205722,0.0463307,0.270896,0.697986,0.514219
0.8,0.2,F,0.1,7004,0.1,0.8,25,0.0,6.0,0.03,25,0.0960824 0.16912 0.184739 15622,T,,15622,0.0230444,0.0423121,0.103764,0.0960824,0.184739,0.0420561,0.243055,0.719178,0.545769
0.8,0.2,F,0.1,8678,0.1,0.8,26,0.0,6.0,0.03,26,0.113901 0.199451 0.167962 19293,T,,19293,0.0283523,0.0413622,0.129736,0.113901,0.167962,0.0317732,0.231016,0.718136,0.53776
0.8,0.2,F,0.1,10368,0.1,0.8,27,0.0,6.0,0.03,27,0.126768 0.215882 0.161404 23184,T,,23184,0.0376553,0.0450742,0.133152,0.126768,0.161404,0.0300638,0.217607,0.711827,0.536448
0.8,0.2,F,0.1,11744,0.1,0.8,28,0.0,6.0,0.03,28,0.141031 0.23796 0.15165 26370,T,,26370,0.0441031,0.0452408,0.148616,0.141031,0.15165,0.0271521,0.203754,0.707319,0.531134
0.8,0.2,F,0.1,12815,0.1,0.8,29,0.0,6.0,0.03,29,0.158808 0.264067 0.144689 29394,T,,29394,0.0535483,0.0505205,0.159999,0.158808,0.144689,0.0229639,0.192931,0.696503,0.520038
0.8,0.2,F,0.1,13515,0.1,0.8,30,0.0,6.0,0.03,30,0.179297 0.29654 0.137435 31102,T,,31102,0.0620539,0.0518295,0.182657,0.179297,0.137435,0.021124,0.180792,0.683268,0.501543
0.8,0.2,F,0.1,13961,0.1,0.8,31,0.0,6.0,0.03,31,0.202152 0.331911 0.127686 32807,T,,32807,0.0723931,0.0613893,0.198128,0.202152,0.127686,0.0144481,0.165087,0.670162,0.488554
0.8,0.2,F,0.1,13619,0.1,0.8,32,0.0,6.0,0.03,32,0.224109 0.358611 0.124394 32598,T,,32598,0.0896067,0.0617523,0.207252,0.224109,0.124394,0.0156145,0.155807,0.651497,0.469967
0.8,0.2,F,0.1,13315,0.1,0.8,33,0.0,6.0,0.03,33,0.25762 0.405551 0.115545 33039,T,,33039,0.109689,0.0668301,0.229032,0.25762,0.115545,0.014498,0.135264,0.626835,0.444687
0.8,0.2,F,0.1,12652,0.1,0.8,34,0.0,6.0,0.03,34,0.282043 0.439715 0.108209 31832,T,,31832,0.124372,0.0704637,0.244879,0.282043,0.108209,0.0133199,0.119314,0.609748,0.427651
0.8,0.2,F,0.1,11995,0.1,0.8,35,0.0,6.0,0.03,35,0.312315 0.469334 0.0960757 31012,T,,31012,0.155295,0.0675867,0.246453,0.312315,0.0960757,0.0102541,0.104056,0.59161,0.416355
0.8,0.2,F,0.1,10992,0.1,0.8,36,0.0,6.0,0.03,36,0.338509 0.509223 0.0910535 29274,T,,29274,0.167794,0.0720776,0.269352,0.338509,0.0910535,0.00778848,0.0944524,0.570438,0.388536
0.8,0.2,F,0.1,10094,0.1,0.8,37,0.0,6.0,0.03,37,0.367837 0.541849 0.0844752 27659,T,,27659,0.193825,0.0717307,0.276293,0.367837,0.0844752,0.00809863,0.0810225,0.547688,0.36903
