Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29221,0.1,0.8,0,0.0,6.0,,0.03,,0.0474794 0.0949589 0.0 58499,T,58499,0.0,0.0,0.0949589,0.0474794,0.0,0.0,0.0,0.952521,0.905041
0.8,0.2,F,0.1,26122,0.1,0.8,1,0.0,6.0,,0.03,,0.0775498 0.149008 0.00386617 53024,T,53024,0.00609158,0.00629903,0.136617,0.0775498,0.00386617,3.77188e-05,0.00135788,0.918584,0.849596
0.8,0.2,F,0.1,24955,0.1,0.8,2,0.0,6.0,,0.03,,0.120742 0.227425 0.00762797 50931,T,50931,0.0140582,0.00977793,0.203589,0.120742,0.00762797,7.85376e-05,0.00532092,0.87163,0.767175
0.8,0.2,F,0.1,23537,0.1,0.8,3,0.0,6.0,,0.03,,0.181048 0.32831 0.0125715 49636,T,49636,0.033786,0.0137602,0.280764,0.181048,0.0125715,0.000221613,0.0109396,0.80638,0.660529
0.8,0.2,F,0.1,21348,0.1,0.8,4,0.0,6.0,,0.03,4,0.257093 0.447467 0.0193011 47018,T,47018,0.0667191,0.0207155,0.360032,0.257093,0.0193011,0.000148879,0.017589,0.723606,0.534795
0.8,0.2,F,0.1,18497,0.1,0.8,5,0.0,6.0,,0.03,5,0.355588 0.584175 0.0261326 43968,T,43968,0.127001,0.0299536,0.42722,0.355588,0.0261326,0.000363901,0.0215839,0.618279,0.393877
0.8,0.2,F,0.1,14563,0.1,0.8,6,0.0,6.0,,0.03,6,0.463427 0.70954 0.0328389 39100,T,39100,0.217315,0.039335,0.45289,0.463427,0.0328389,0.000895141,0.0245524,0.503734,0.265013
0.8,0.2,F,0.1,10282,0.1,0.8,7,0.0,6.0,,0.03,7,0.573243 0.816041 0.037429 33116,T,33116,0.330444,0.0482546,0.437341,0.573243,0.037429,0.000845513,0.0249124,0.389328,0.158201
0.8,0.2,F,0.1,6203,0.1,0.8,8,0.0,6.0,,0.03,8,0.667621 0.886516 0.0423147 25334,T,25334,0.448725,0.0603931,0.377398,0.667621,0.0423147,0.00110523,0.0220257,0.290065,0.0903529
0.8,0.2,F,0.1,3578,0.1,0.8,9,0.0,6.0,,0.03,9,0.735726 0.929864 0.0459064 18407,T,18407,0.541587,0.067094,0.321182,0.735726,0.0459064,0.00152116,0.0216765,0.218368,0.0469387
0.8,0.2,F,0.1,1979,0.1,0.8,10,0.0,6.0,,0.03,10,0.789671 0.958225 0.0495027 13070,T,13070,0.621117,0.0785004,0.258607,0.789671,0.0495027,0.00214231,0.0162204,0.160826,0.0234124
0.8,0.2,F,0.1,1084,0.1,0.8,11,0.0,6.0,,0.03,11,0.811207 0.963448 0.0537356 8700,T,8700,0.658966,0.0870115,0.217471,0.811207,0.0537356,0.00275862,0.0149425,0.135057,0.0188506
0.8,0.2,F,0.1,621,0.1,0.8,12,0.0,6.0,,0.03,12,0.825457 0.96293 0.0515636 5692,T,5692,0.687983,0.0755446,0.199403,0.825457,0.0515636,0.0059733,0.015636,0.12298,0.0154603
