original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,53,0.53,0.957217,0.55,0.856358,0.63,0.13561,0.65,0.0773271,0.541346,0.64222,0.100874,,
0,54,0.53,0.968979,0.55,0.893505,0.63,0.161546,0.65,0.0807229,0.548279,0.64523,0.096951,,
0,55,0.55,0.938799,0.57,0.770008,0.65,0.100584,0.67,0.0574908,0.554597,0.650271,0.095674,,
0,56,0.55,0.956137,0.57,0.84123,0.65,0.124303,0.67,0.0647879,0.559771,0.658167,0.098396,,
0,57,0.55,0.971831,0.57,0.880831,0.65,0.151495,0.67,0.0960236,0.565787,0.668566,0.102779,,
0,58,0.57,0.918429,0.59,0.779108,0.67,0.115303,0.69,0.068743,0.572646,0.676573,0.103927,,
0,59,0.57,0.955715,0.59,0.827258,0.67,0.131975,0.69,0.0789104,0.578674,0.682051,0.103377,,
0,60,0.57,0.962106,0.59,0.873668,0.67,0.146786,0.69,0.0919678,0.584045,0.68707,0.103025,,
0,61,0.59,0.903478,0.61,0.720218,0.69,0.101246,0.71,0.0600164,0.59038,0.690604,0.100224,,
0,62,0.59,0.924711,0.61,0.813256,0.69,0.103827,0.71,0.0611888,0.594434,0.691795,0.097361,,
0,63,0.59,0.956417,0.61,0.863051,0.69,0.129553,0.71,0.0695884,0.602085,0.699857,0.097772,,
0,64,0.61,0.903817,0.63,0.746256,0.69,0.139604,0.71,0.0905071,0.610485,0.706133,0.095648,,
0,65,0.61,0.939314,0.63,0.788903,0.71,0.114586,0.73,0.0590248,0.615228,0.71525,0.100022,,
0,66,0.61,0.945329,0.63,0.836306,0.71,0.143039,0.73,0.0778322,0.618315,0.723201,0.104886,,
0,67,0.61,0.966917,0.63,0.883534,0.71,0.167419,0.73,0.0962169,0.626051,0.728937,0.102886,,
0,68,0.63,0.9071,0.65,0.747508,0.73,0.110874,0.75,0.0726483,0.63089,0.735689,0.104799,,
0,69,0.63,0.937252,0.65,0.811329,0.73,0.134508,0.75,0.0783063,0.635917,0.74228,0.106363,,
0,70,0.63,0.958162,0.65,0.872525,0.73,0.164491,0.75,0.0950105,0.643583,0.748564,0.104981,,
0,71,0.65,0.908222,0.67,0.750629,0.75,0.103017,0.77,0.0612416,0.651043,0.751444,0.100401,,
0,72,0.65,0.945884,0.67,0.810083,0.75,0.129245,0.77,0.0871333,0.656758,0.763889,0.107131,,
0,73,0.65,0.959772,0.67,0.866234,0.75,0.164049,0.77,0.0976048,0.66278,0.769279,0.106499,,
0,74,0.65,0.969638,0.67,0.893159,0.77,0.109644,0.79,0.0678889,0.668211,0.774619,0.106408,,
0,75,0.67,0.932713,0.69,0.810308,0.77,0.145404,0.79,0.0711883,0.675345,0.782236,0.106891,,
0,76,0.67,0.958596,0.69,0.86211,0.77,0.161673,0.79,0.0948947,0.682146,0.788471,0.106325,,
0,77,0.69,0.903942,0.71,0.736583,0.79,0.11066,0.81,0.0727794,0.690471,0.795628,0.105157,,
0,78,0.69,0.93807,0.71,0.813734,0.79,0.130964,0.81,0.0746354,0.696124,0.800994,0.10487,,
0,0,0.19,0.971137,0.21,0.897528,0.29,0.158581,0.31,0.0923444,0.209328,0.307688,0.09836,,
0,1,0.21,0.914845,0.23,0.769358,0.31,0.107768,0.33,0.0569676,0.212041,0.313058,0.101017,,
0,2,0.21,0.94398,0.23,0.824459,0.31,0.128339,0.33,0.0639721,0.217359,0.318805,0.101446,,
0,3,0.21,0.960784,0.23,0.866186,0.31,0.160293,0.33,0.0770349,0.222851,0.324483,0.101632,,
0,4,0.23,0.910112,0.25,0.774482,0.33,0.101001,0.35,0.057564,0.231491,0.330461,0.09897,,
0,5,0.23,0.941642,0.25,0.819344,0.33,0.136048,0.35,0.0739232,0.23681,0.341605,0.104795,,
0,6,0.23,0.964887,0.25,0.876733,0.33,0.150693,0.35,0.0931695,0.244721,0.347625,0.102904,,
