original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,12,0.35,0.914894,0.37,0.861956,0.55,0.101604,0.57,0.0808511,0.355627,0.551546,0.195919,,
0,13,0.37,0.911811,0.39,0.835696,0.57,0.103609,0.59,0.0821028,0.373103,0.573356,0.200253,,
0,14,0.37,0.916667,0.39,0.891304,0.59,0.101183,0.61,0.0727778,0.383143,0.590833,0.20769,,
0,15,0.39,0.917362,0.41,0.845805,0.59,0.119658,0.61,0.0840787,0.394853,0.60105,0.206197,,
0,16,0.39,0.945135,0.41,0.895756,0.59,0.131096,0.61,0.0955224,0.408281,0.607483,0.199202,,
0,17,0.41,0.928013,0.43,0.876701,0.61,0.138958,0.63,0.0814294,0.420919,0.623544,0.202625,,
0,18,0.43,0.907956,0.45,0.859215,0.63,0.114322,0.65,0.090645,0.433265,0.642098,0.208833,,
0,19,0.45,0.900076,0.47,0.857261,0.65,0.104844,0.67,0.0865672,0.450036,0.655301,0.205265,,
0,20,0.45,0.929022,0.47,0.857143,0.67,0.1018,0.69,0.0618797,0.458075,0.670902,0.212827,,
0,21,0.47,0.913078,0.49,0.812187,0.67,0.114662,0.69,0.0965714,0.472593,0.68621,0.213617,,
0,22,0.49,0.900079,0.51,0.816112,0.69,0.114804,0.71,0.0770108,0.490019,0.697834,0.207815,,
0,23,0.49,0.929263,0.51,0.858881,0.71,0.100998,0.73,0.0692895,0.498315,0.710629,0.212314,,
0,24,0.51,0.908121,0.53,0.87408,0.71,0.114504,0.73,0.0961313,0.514771,0.725789,0.211018,,
0,25,0.53,0.904594,0.55,0.822795,0.71,0.145172,0.73,0.0986086,0.531123,0.729402,0.198279,,
0,26,0.53,0.930556,0.55,0.881903,0.73,0.115783,0.75,0.0870836,0.542561,0.740999,0.198438,,
0,27,0.55,0.939722,0.57,0.859296,0.75,0.105804,0.77,0.073857,0.559878,0.753634,0.193756,,
0,28,0.55,0.946309,0.57,0.897416,0.75,0.126302,0.77,0.0976037,0.568943,0.76833,0.199387,,
0,29,0.57,0.932203,0.59,0.878125,0.77,0.107232,0.79,0.0831879,0.58191,0.776016,0.194106,,
0,30,0.59,0.912322,0.61,0.869205,0.79,0.10479,0.81,0.0726447,0.595716,0.79298,0.197264,,
0,31,0.59,0.945967,0.61,0.890024,0.79,0.114532,0.81,0.0956881,0.606434,0.805424,0.19899,,
0,32,0.61,0.917928,0.63,0.867099,0.79,0.132088,0.81,0.0969325,0.617054,0.808255,0.191201,,
0,33,0.63,0.915408,0.65,0.850936,0.81,0.119107,0.83,0.091352,0.63478,0.823768,0.188988,,
0,34,0.63,0.940646,0.65,0.879554,0.83,0.10594,0.85,0.0720562,0.643306,0.833506,0.1902,,
0,35,0.65,0.903156,0.67,0.854003,0.85,0.112922,0.87,0.0775151,0.651284,0.857299,0.206015,,
0,36,0.65,0.946746,0.67,0.897882,0.85,0.134925,0.87,0.0982091,0.669133,0.869024,0.199891,,
0,37,0.67,0.923258,0.69,0.880391,0.87,0.117581,0.89,0.0894263,0.680851,0.882489,0.201638,,
0,38,0.69,0.915043,0.71,0.834263,0.87,0.117223,0.89,0.1,0.693724,0.89,0.196276,,
