Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55990,0.0496071,0.0,0.950393,
0.8,F,0.1,0.1,0.8,1,0.0,T,49900,0.0809218,0.00403808,0.91504,
0.8,F,0.1,0.1,0.8,2,0.0,T,47139,0.120558,0.00829462,0.871147,
0.8,F,0.1,0.1,0.8,3,0.0,T,46271,0.181031,0.0133345,0.805634,
0.8,F,0.1,0.1,0.8,4,0.0,T,43481,0.264184,0.0198937,0.715922,
0.8,F,0.1,0.1,0.8,5,0.0,T,40362,0.362309,0.0270056,0.610686,
0.8,F,0.1,0.1,0.8,6,0.0,T,36316,0.478205,0.0329194,0.488875,
0.8,F,0.1,0.1,0.8,7,0.0,T,29986,0.594361,0.0384513,0.367188,
0.8,F,0.1,0.1,0.8,8,0.0,T,22881,0.695096,0.0410384,0.263865,
0.8,F,0.1,0.1,0.8,9,0.0,T,16411,0.77314,0.0432332,0.183627,
0.8,F,0.1,0.1,0.8,10,0.0,T,10329,0.823023,0.0419692,0.135008,
0.8,F,0.1,0.1,0.8,11,0.0,T,6753,0.858581,0.0382793,0.103139,
0.8,F,0.1,0.1,0.8,12,0.0,T,3973,0.883463,0.0349862,0.0815505,
0.8,F,0.1,0.1,0.8,13,0.0,T,2240,0.878348,0.0392857,0.0823661,
0.8,F,0.1,0.1,0.8,14,0.0,T,1379,0.902828,0.031182,0.0659898,
0.8,F,0.1,0.1,0.8,15,0.0,T,630,0.907937,0.0333333,0.0587302,
0.8,F,0.1,0.1,0.8,16,0.0,T,347,0.87464,0.0360231,0.0893372,
0.8,F,0.1,0.1,0.8,17,0.0,T,274,0.881387,0.0492701,0.0693431,
0.8,F,0.1,0.1,0.8,18,0.0,T,225,0.855556,0.08,0.0644444,
0.8,F,0.1,0.1,0.8,19,0.0,T,162,0.882716,0.0617284,0.0555556,
0.8,F,0.1,0.1,0.8,20,0.0,T,84,0.690476,0.166667,0.142857,
0.8,F,0.1,0.1,0.8,21,0.0,T,106,0.853774,0.0801887,0.0660377,
0.8,F,0.1,0.1,0.8,22,0.0,T,63,0.722222,0.166667,0.111111,
0.8,F,0.1,0.1,0.8,23,0.0,T,76,0.822368,0.0921053,0.0855263,
0.8,F,0.1,0.1,0.8,24,0.0,T,71,0.915493,0.0352113,0.0492958,
0.8,F,0.1,0.1,0.8,25,0.0,T,28,0.892857,0.0,0.107143,
0.8,F,0.1,0.1,0.8,26,0.0,T,12,1.0,0.0,0.0,1
