Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55490,0.0500541,0.0,0.949946,
0.8,F,0.1,0.1,0.8,1,0.0,T,50010,0.0830134,0.00438912,0.912597,
0.8,F,0.1,0.1,0.8,2,0.0,T,48323,0.121702,0.00851561,0.869783,
0.8,F,0.1,0.1,0.8,3,0.0,T,46241,0.17983,0.0141325,0.806038,
0.8,F,0.1,0.1,0.8,4,0.0,T,44236,0.257437,0.0196785,0.722884,
0.8,F,0.1,0.1,0.8,5,0.0,T,41271,0.354123,0.0270408,0.618836,
0.8,F,0.1,0.1,0.8,6,0.0,T,36383,0.467911,0.0354149,0.496674,
0.8,F,0.1,0.1,0.8,7,0.0,T,30590,0.580664,0.0395554,0.379781,
0.8,F,0.1,0.1,0.8,8,0.0,T,23643,0.686651,0.0431417,0.270207,
0.8,F,0.1,0.1,0.8,9,0.0,T,16641,0.765429,0.0444384,0.190133,
0.8,F,0.1,0.1,0.8,10,0.0,T,10584,0.809429,0.0456349,0.144936,
0.8,F,0.1,0.1,0.8,11,0.0,T,6891,0.858076,0.0405602,0.101364,
0.8,F,0.1,0.1,0.8,12,0.0,T,3960,0.861111,0.0396465,0.0992424,
0.8,F,0.1,0.1,0.8,13,0.0,T,2616,0.88341,0.0344037,0.0821865,
0.8,F,0.1,0.1,0.8,14,0.0,T,1641,0.907374,0.0341255,0.0585009,
0.8,F,0.1,0.1,0.8,15,0.0,T,685,0.90219,0.0335766,0.0642336,
0.8,F,0.1,0.1,0.8,16,0.0,T,362,0.917127,0.0303867,0.0524862,
0.8,F,0.1,0.1,0.8,17,0.0,T,174,0.95977,0.00862069,0.0316092,
0.8,F,0.1,0.1,0.8,18,0.0,T,64,0.9375,0.0546875,0.0078125,
0.8,F,0.1,0.1,0.8,19,0.0,T,14,0.857143,0.0,0.142857,
0.8,F,0.1,0.1,0.8,20,0.0,T,16,0.90625,0.0,0.09375,
0.8,F,0.1,0.1,0.8,21,0.0,T,14,0.928571,0.0,0.0714286,
0.8,F,0.1,0.1,0.8,22,0.0,T,10,0.9,0.05,0.05,
0.8,F,0.1,0.1,0.8,23,0.0,T,6,1.0,0.0,0.0,1
