Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,56240,0.0493866,0.0,0.950613,
0.8,F,0.1,0.1,0.8,1,0.0,T,49616,0.0804378,0.00418212,0.91538,
0.8,F,0.1,0.1,0.8,2,0.0,T,47915,0.124251,0.0076594,0.868089,
0.8,F,0.1,0.1,0.8,3,0.0,T,46716,0.182924,0.0133894,0.803686,
0.8,F,0.1,0.1,0.8,4,0.0,T,44344,0.262482,0.0200704,0.717448,
0.8,F,0.1,0.1,0.8,5,0.0,T,40729,0.360026,0.0270814,0.612893,
0.8,F,0.1,0.1,0.8,6,0.0,T,36131,0.476198,0.0326866,0.491116,
0.8,F,0.1,0.1,0.8,7,0.0,T,30353,0.595674,0.0375086,0.366817,
0.8,F,0.1,0.1,0.8,8,0.0,T,23049,0.697731,0.0406525,0.261617,
0.8,F,0.1,0.1,0.8,9,0.0,T,16317,0.780658,0.0394987,0.179843,
0.8,F,0.1,0.1,0.8,10,0.0,T,10560,0.82571,0.0424716,0.131818,
0.8,F,0.1,0.1,0.8,11,0.0,T,6197,0.84194,0.0403421,0.117718,
0.8,F,0.1,0.1,0.8,12,0.0,T,4239,0.884525,0.0318471,0.0836282,
0.8,F,0.1,0.1,0.8,13,0.0,T,2374,0.888795,0.0400168,0.0711879,
0.8,F,0.1,0.1,0.8,14,0.0,T,1357,0.852616,0.0530582,0.0943257,
0.8,F,0.1,0.1,0.8,15,0.0,T,1067,0.881912,0.0417057,0.0763824,
0.8,F,0.1,0.1,0.8,16,0.0,T,735,0.867347,0.0421769,0.0904762,
0.8,F,0.1,0.1,0.8,17,0.0,T,589,0.878608,0.0517827,0.0696095,
0.8,F,0.1,0.1,0.8,18,0.0,T,382,0.802356,0.0719895,0.125654,
0.8,F,0.1,0.1,0.8,19,0.0,T,558,0.903226,0.046595,0.0501792,
0.8,F,0.1,0.1,0.8,20,0.0,T,290,0.822414,0.101724,0.0758621,
0.8,F,0.1,0.1,0.8,21,0.0,T,147,0.826531,0.105442,0.0680272,
0.8,F,0.1,0.1,0.8,22,0.0,T,84,0.845238,0.0535714,0.10119,
0.8,F,0.1,0.1,0.8,23,0.0,T,80,0.79375,0.1125,0.09375,
0.8,F,0.1,0.1,0.8,24,0.0,T,59,0.686441,0.186441,0.127119,
0.8,F,0.1,0.1,0.8,25,0.0,T,78,0.833333,0.0576923,0.108974,
0.8,F,0.1,0.1,0.8,26,0.0,T,97,0.938144,0.0154639,0.0463918,
0.8,F,0.1,0.1,0.8,27,0.0,T,55,0.945455,0.00909091,0.0454545,
0.8,F,0.1,0.1,0.8,28,0.0,T,32,0.859375,0.078125,0.0625,
0.8,F,0.1,0.1,0.8,29,0.0,T,36,0.777778,0.125,0.0972222,
0.8,F,0.1,0.1,0.8,30,0.0,T,36,0.888889,0.0138889,0.0972222,
0.8,F,0.1,0.1,0.8,31,0.0,T,53,0.962264,0.0,0.0377358,
0.8,F,0.1,0.1,0.8,32,0.0,T,8,1.0,0.0,0.0,1
