Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55558,0.0499928,0.0,0.950007,
0.8,F,0.1,0.1,0.8,1,0.0,T,49563,0.0823699,0.00473135,0.912899,
0.8,F,0.1,0.1,0.8,2,0.0,T,47880,0.125136,0.00898079,0.865883,
0.8,F,0.1,0.1,0.8,3,0.0,T,46292,0.185615,0.0140953,0.800289,
0.8,F,0.1,0.1,0.8,4,0.0,T,44066,0.261903,0.0217061,0.716391,
0.8,F,0.1,0.1,0.8,5,0.0,T,40514,0.363195,0.0277065,0.609098,
0.8,F,0.1,0.1,0.8,6,0.0,T,36123,0.479736,0.0346455,0.485619,
0.8,F,0.1,0.1,0.8,7,0.0,T,30053,0.597378,0.0415433,0.361079,
0.8,F,0.1,0.1,0.8,8,0.0,T,22810,0.705349,0.0425033,0.252148,
0.8,F,0.1,0.1,0.8,9,0.0,T,15611,0.775991,0.0409647,0.183044,
0.8,F,0.1,0.1,0.8,10,0.0,T,9891,0.824588,0.0454959,0.129916,
0.8,F,0.1,0.1,0.8,11,0.0,T,5929,0.859588,0.0405633,0.0998482,
0.8,F,0.1,0.1,0.8,12,0.0,T,3552,0.877393,0.0368806,0.0857264,
0.8,F,0.1,0.1,0.8,13,0.0,T,2226,0.877134,0.0438005,0.0790656,
0.8,F,0.1,0.1,0.8,14,0.0,T,1396,0.855659,0.0522923,0.0920487,
0.8,F,0.1,0.1,0.8,15,0.0,T,1148,0.869338,0.0444251,0.0862369,
0.8,F,0.1,0.1,0.8,16,0.0,T,847,0.881346,0.0383707,0.0802834,
0.8,F,0.1,0.1,0.8,17,0.0,T,624,0.900641,0.0184295,0.0809295,
0.8,F,0.1,0.1,0.8,18,0.0,T,483,0.876812,0.0393375,0.0838509,
0.8,F,0.1,0.1,0.8,19,0.0,T,393,0.902036,0.0318066,0.0661578,
0.8,F,0.1,0.1,0.8,20,0.0,T,256,0.863281,0.0351562,0.101562,
0.8,F,0.1,0.1,0.8,21,0.0,T,258,0.891473,0.0213178,0.0872093,
0.8,F,0.1,0.1,0.8,22,0.0,T,218,0.855505,0.00458716,0.139908,
0.8,F,0.1,0.1,0.8,23,0.0,T,285,0.942105,0.0,0.0578947,
0.8,F,0.1,0.1,0.8,24,0.0,T,146,0.962329,0.0,0.0376712,
0.8,F,0.1,0.1,0.8,25,0.0,T,24,0.979167,0.0,0.0208333,
0.8,F,0.1,0.1,0.8,26,0.0,T,9,1.0,0.0,0.0,1
