Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55105,0.0504038,0.0,0.949596,
0.8,F,0.1,0.1,0.8,1,0.0,T,49873,0.0824795,0.00407034,0.91345,
0.8,F,0.1,0.1,0.8,2,0.0,T,48407,0.123236,0.0084182,0.868345,
0.8,F,0.1,0.1,0.8,3,0.0,T,46194,0.183801,0.0142443,0.801955,
0.8,F,0.1,0.1,0.8,4,0.0,T,44120,0.267044,0.0204556,0.7125,
0.8,F,0.1,0.1,0.8,5,0.0,T,40336,0.367315,0.027023,0.605662,
0.8,F,0.1,0.1,0.8,6,0.0,T,36013,0.483784,0.0333907,0.482826,
0.8,F,0.1,0.1,0.8,7,0.0,T,29983,0.601741,0.0390888,0.35917,
0.8,F,0.1,0.1,0.8,8,0.0,T,22695,0.70033,0.0432254,0.256444,
0.8,F,0.1,0.1,0.8,9,0.0,T,15712,0.778736,0.0454112,0.175853,
0.8,F,0.1,0.1,0.8,10,0.0,T,9907,0.823256,0.0455234,0.13122,
0.8,F,0.1,0.1,0.8,11,0.0,T,5789,0.839955,0.0499223,0.110123,
0.8,F,0.1,0.1,0.8,12,0.0,T,3943,0.85265,0.0469186,0.100431,
0.8,F,0.1,0.1,0.8,13,0.0,T,2662,0.858189,0.0450789,0.0967318,
0.8,F,0.1,0.1,0.8,14,0.0,T,1910,0.863089,0.0515707,0.0853403,
0.8,F,0.1,0.1,0.8,15,0.0,T,1236,0.860841,0.0622977,0.0768608,
0.8,F,0.1,0.1,0.8,16,0.0,T,819,0.840049,0.0708181,0.0891331,
0.8,F,0.1,0.1,0.8,17,0.0,T,736,0.861413,0.0658967,0.0726902,
0.8,F,0.1,0.1,0.8,18,0.0,T,506,0.900198,0.0474308,0.0523715,
0.8,F,0.1,0.1,0.8,19,0.0,T,265,0.862264,0.0603774,0.0773585,
0.8,F,0.1,0.1,0.8,20,0.0,T,254,0.86811,0.0452756,0.0866142,
0.8,F,0.1,0.1,0.8,21,0.0,T,251,0.850598,0.0816733,0.0677291,
0.8,F,0.1,0.1,0.8,22,0.0,T,116,0.87069,0.0474138,0.0818966,
0.8,F,0.1,0.1,0.8,23,0.0,T,68,0.919118,0.0220588,0.0588235,
0.8,F,0.1,0.1,0.8,24,0.0,T,50,0.91,0.04,0.05,
0.8,F,0.1,0.1,0.8,25,0.0,T,15,0.933333,0.0333333,0.0333333,
0.8,F,0.1,0.1,0.8,26,0.0,T,9,0.888889,0.0,0.111111,
0.8,F,0.1,0.1,0.8,27,0.0,T,23,0.956522,0.0,0.0434783,
0.8,F,0.1,0.1,0.8,28,0.0,T,7,0.928571,0.0,0.0714286,
0.8,F,0.1,0.1,0.8,29,0.0,T,0,NAN,NAN,NAN,1
