Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55288,0.0502369,0.0,0.949763,
0.8,F,0.1,0.1,0.8,1,0.0,T,49966,0.0805047,0.00413281,0.915362,
0.8,F,0.1,0.1,0.8,2,0.0,T,47675,0.118018,0.00805454,0.873928,
0.8,F,0.1,0.1,0.8,3,0.0,T,46618,0.176091,0.0140933,0.809816,
0.8,F,0.1,0.1,0.8,4,0.0,T,44779,0.254829,0.0197526,0.725418,
0.8,F,0.1,0.1,0.8,5,0.0,T,40837,0.352181,0.0279159,0.619904,
0.8,F,0.1,0.1,0.8,6,0.0,T,37063,0.464965,0.0355611,0.499474,
0.8,F,0.1,0.1,0.8,7,0.0,T,30715,0.576542,0.0392805,0.384177,
0.8,F,0.1,0.1,0.8,8,0.0,T,23693,0.67769,0.0445701,0.27774,
0.8,F,0.1,0.1,0.8,9,0.0,T,16903,0.757292,0.0480684,0.19464,
0.8,F,0.1,0.1,0.8,10,0.0,T,11075,0.814853,0.0435214,0.141625,
0.8,F,0.1,0.1,0.8,11,0.0,T,6738,0.854853,0.0474918,0.0976551,
0.8,F,0.1,0.1,0.8,12,0.0,T,3858,0.866122,0.0447123,0.0891654,
0.8,F,0.1,0.1,0.8,13,0.0,T,2263,0.880689,0.0503756,0.068935,
0.8,F,0.1,0.1,0.8,14,0.0,T,1366,0.887628,0.0523426,0.0600293,
0.8,F,0.1,0.1,0.8,15,0.0,T,838,0.866348,0.0531026,0.0805489,
0.8,F,0.1,0.1,0.8,16,0.0,T,630,0.936508,0.0142857,0.0492063,
0.8,F,0.1,0.1,0.8,17,0.0,T,264,0.920455,0.0227273,0.0568182,
0.8,F,0.1,0.1,0.8,18,0.0,T,162,0.898148,0.0339506,0.0679012,
0.8,F,0.1,0.1,0.8,19,0.0,T,34,0.941176,0.0,0.0588235,
0.8,F,0.1,0.1,0.8,20,0.0,T,31,0.903226,0.0,0.0967742,
0.8,F,0.1,0.1,0.8,21,0.0,T,44,0.931818,0.0227273,0.0454545,
0.8,F,0.1,0.1,0.8,22,0.0,T,24,0.833333,0.145833,0.0208333,
0.8,F,0.1,0.1,0.8,23,0.0,T,0,NAN,NAN,NAN,1
