radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,114,0.0,0.0,0.0,103175,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,100,0.0,0.0,0.0,103337,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,115,0.0,0.0,0.0,103039,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,214,0.0,0.0,0.0,103296,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,211,0.0,0.0,0.0,103979,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,238,0.0,0.0,0.0,103202,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,396,0.0,0.0,0.0,103683,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,390,0.0,0.0,0.0,103423,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,325,0.0,0.0,0.0,103654,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,233,0.0,0.0,0.0,103389,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,267,0.0,0.0,0.0,102805,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,299,0.0,0.0,0.0,103756,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,266,0.0,0.0,0.0,103346,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,268,0.0,0.0,0.0,103707,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,289,0.0,0.0,0.0,104402,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,267,0.0,0.0,0.0,103819,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,326,0.0,0.0,0.0,102404,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,317,0.0,0.0,0.0,103331,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,177,0.0,0.0,0.0,104371,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,301,0.0,0.0,0.0,104016,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,201,0.0,0.0,0.0,103330,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,318,0.0,0.0,0.0,103296,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,209,0.0,0.0,0.0,104140,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.083792,0.160822,0.00893113,97748,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0890684,0.170773,0.00824918,96555,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0859192,0.164818,0.00845847,96294,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0858838,0.164362,0.00847615,96683,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0863968,0.165612,0.00932826,96213,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0811568,0.156102,0.00800509,96751,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0840707,0.161146,0.00802003,96633,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0863995,0.165372,0.00869049,96945,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0798532,0.153321,0.00758117,96621,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0901596,0.172121,0.0087522,96490,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0851262,0.163077,0.0083882,96445,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,T,F,0,0,0,0,1,1000,0.0804935,0.154323,0.00749421,97542,0,0,0,0
