radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,85,0.0,0.0,0.0,103334,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,115,0.0,0.0,0.0,103286,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,116,0.0,0.0,0.0,103697,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,255,0.0,0.0,0.0,103737,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,295,0.0,0.0,0.0,103112,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,296,0.0,0.0,0.0,103856,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,250,0.0,0.0,0.0,104361,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,220,0.0,0.0,0.0,103801,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,193,0.0,0.0,0.0,103400,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,419,0.0,0.0,0.0,103914,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,213,0.0,0.0,0.0,103451,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,202,0.0,0.0,0.0,105035,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,192,0.0,0.0,0.0,103485,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,278,0.0,0.0,0.0,104618,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,220,0.0,0.0,0.0,103353,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,T,F,0,1,0,0,0,227,0.0,0.0,0.0,103447,0,0,0,0
