Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29577,0.1,0.8,0,0.2,6.0,0.03,,0.0468523 0.0937047 0.0 59282,F,,59282,0.0,0.0,0.0937047,0.0468523,0.0,0.0,0.0,0.953148,0.906295
0.6,0.2,T,0.1,25768,0.1,0.8,1,0.2,6.0,0.03,,0.0695557 0.134578 0.012461 53166,F,,53166,0.00453297,0.00752361,0.122522,0.0695557,0.012461,0.000827597,0.0157431,0.917983,0.848851
0.6,0.2,T,0.1,23397,0.1,0.8,2,0.2,6.0,0.03,,0.0945661 0.180179 0.0234759 49817,F,,49817,0.00895277,0.0111608,0.160066,0.0945661,0.0234759,0.00142522,0.0329406,0.881958,0.785455
0.6,0.2,T,0.1,22199,0.1,0.8,3,0.2,6.0,0.03,,0.127829 0.238116 0.0324356 48342,F,,48342,0.0175417,0.0154524,0.205122,0.127829,0.0324356,0.00186174,0.0456953,0.839736,0.714327
0.6,0.2,T,0.1,20310,0.1,0.8,4,0.2,6.0,0.03,4,0.167115 0.306558 0.043969 46112,F,,46112,0.0276718,0.0232261,0.25566,0.167115,0.043969,0.00251561,0.0596808,0.788916,0.631246
0.6,0.2,T,0.1,18264,0.1,0.8,5,0.2,6.0,0.03,5,0.216504 0.384957 0.0555147 43475,F,,43475,0.0480506,0.0325014,0.304405,0.216504,0.0555147,0.00384129,0.0708453,0.727982,0.540357
0.6,0.2,T,0.1,15656,0.1,0.8,6,0.2,6.0,0.03,6,0.276866 0.47704 0.0689299 40135,F,,40135,0.0766912,0.0468917,0.353457,0.276866,0.0689299,0.00515759,0.0806528,0.654205,0.43715
0.6,0.2,T,0.1,12718,0.1,0.8,7,0.2,6.0,0.03,7,0.348541 0.572772 0.082859 35838,F,,35838,0.124309,0.0654891,0.382973,0.348541,0.082859,0.00661309,0.0870026,0.5686,0.333612
0.6,0.2,T,0.1,10115,0.1,0.8,8,0.2,6.0,0.03,8,0.422422 0.663222 0.0941202 31736,F,,31736,0.181623,0.0869045,0.394694,0.422422,0.0941202,0.00819259,0.0849508,0.483457,0.243635
0.6,0.2,T,0.1,7480,0.1,0.8,9,0.2,6.0,0.03,9,0.492115 0.738154 0.105914 26951,F,,26951,0.246076,0.109829,0.382249,0.492115,0.105914,0.00998108,0.0820378,0.40197,0.169827
0.6,0.2,T,0.1,5095,0.1,0.8,10,0.2,6.0,0.03,10,0.563029 0.806436 0.112511 22220,F,,22220,0.319622,0.129523,0.357291,0.563029,0.112511,0.0112511,0.0729973,0.32446,0.109316
0.6,0.2,T,0.1,3204,0.1,0.8,11,0.2,6.0,0.03,11,0.618915 0.851852 0.123267 16659,F,,16659,0.385978,0.15235,0.313524,0.618915,0.123267,0.0145267,0.06513,0.257819,0.0684915
0.6,0.2,T,0.1,1911,0.1,0.8,12,0.2,6.0,0.03,12,0.673368 0.889067 0.123789 12485,F,,12485,0.457669,0.168682,0.262715,0.673368,0.123789,0.0147377,0.0494193,0.202843,0.0467761
0.6,0.2,T,0.1,1135,0.1,0.8,13,0.2,6.0,0.03,13,0.697092 0.90563 0.127248 8562,F,,8562,0.488554,0.176244,0.240832,0.697092,0.127248,0.0155338,0.0471852,0.17566,0.0316515
0.6,0.2,T,0.1,685,0.1,0.8,14,0.2,6.0,0.03,14,0.722268 0.90734 0.126702 6022,F,,6022,0.537197,0.182331,0.187811,0.722268,0.126702,0.014281,0.0425108,0.15103,0.0358685
0.6,0.2,T,0.1,511,0.1,0.8,15,0.2,6.0,0.03,15,0.693975 0.905218 0.130199 3967,F,,3967,0.482733,0.177212,0.245274,0.693975,0.130199,0.0138644,0.0554575,0.175826,0.02546
0.6,0.2,T,0.1,353,0.1,0.8,16,0.2,6.0,0.03,16,0.722103 0.912017 0.133047 3262,F,,3262,0.532189,0.188535,0.191294,0.722103,0.133047,0.0159411,0.0456775,0.14485,0.0263642
0.6,0.2,T,0.1,255,0.1,0.8,17,0.2,6.0,0.03,17,0.721182 0.90682 0.121037 2082,F,,2082,0.535543,0.180115,0.191162,0.721182,0.121037,0.0120077,0.0379443,0.157781,0.0432277
0.6,0.2,T,0.1,228,0.1,0.8,18,0.2,6.0,0.03,18,0.665495 0.83597 0.140012 1707,F,,1707,0.495021,0.184534,0.156415,0.665495,0.140012,0.0169889,0.0615114,0.194493,0.0855302
0.6,0.2,T,0.1,260,0.1,0.8,19,0.2,6.0,0.03,19,0.484971 0.657625 0.14956 1364,F,,1364,0.312317,0.152493,0.192815,0.484971,0.14956,0.0197947,0.107038,0.365469,0.215543
0.6,0.2,T,0.1,285,0.1,0.8,20,0.2,6.0,0.03,20,0.44968 0.62946 0.114364 1093,F,,1093,0.269899,0.10247,0.257091,0.44968,0.114364,0.0164684,0.0933211,0.435956,0.26075
0.6,0.2,T,0.1,355,0.1,0.8,21,0.2,6.0,0.03,21,0.436635 0.619082 0.118354 1373,F,,1373,0.254188,0.112163,0.252731,0.436635,0.118354,0.00728332,0.109978,0.445011,0.263656
0.6,0.2,T,0.1,427,0.1,0.8,22,0.2,6.0,0.03,22,0.41147 0.608602 0.0992832 1395,F,,1395,0.214337,0.0989247,0.295341,0.41147,0.0992832,0.009319,0.0810036,0.489247,0.301075
0.6,0.2,T,0.1,508,0.1,0.8,23,0.2,6.0,0.03,23,0.415995 0.612523 0.0898946 1613,F,,1613,0.219467,0.0768754,0.316181,0.415995,0.0898946,0.00557967,0.0917545,0.49411,0.290143
0.6,0.2,T,0.1,569,0.1,0.8,24,0.2,6.0,0.03,24,0.414918 0.640953 0.0981282 1763,F,,1763,0.188883,0.084515,0.367555,0.414918,0.0981282,0.00907544,0.0935905,0.486954,0.256381
0.6,0.2,T,0.1,531,0.1,0.8,25,0.2,6.0,0.03,25,0.481462 0.718538 0.107833 1915,F,,1915,0.244386,0.107572,0.36658,0.481462,0.107833,0.0078329,0.0924282,0.410705,0.181201
0.6,0.2,T,0.1,393,0.1,0.8,26,0.2,6.0,0.03,26,0.537861 0.761418 0.109375 1664,F,,1664,0.314303,0.121995,0.32512,0.537861,0.109375,0.00901442,0.078726,0.352764,0.150841
0.6,0.2,T,0.1,364,0.1,0.8,27,0.2,6.0,0.03,27,0.558086 0.792079 0.108911 1515,F,,1515,0.324092,0.118812,0.349175,0.558086,0.108911,0.00990099,0.0792079,0.333003,0.118812
0.6,0.2,T,0.1,291,0.1,0.8,28,0.2,6.0,0.03,28,0.589987 0.818063 0.124018 1528,F,,1528,0.361911,0.138743,0.317408,0.589987,0.124018,0.0183246,0.072644,0.285995,0.0909686
0.6,0.2,T,0.1,208,0.1,0.8,29,0.2,6.0,0.03,29,0.651349 0.872681 0.12226 1186,F,,1186,0.430017,0.17032,0.272344,0.651349,0.12226,0.0160202,0.0421585,0.226391,0.06914
0.6,0.2,T,0.1,152,0.1,0.8,30,0.2,6.0,0.03,30,0.648871 0.852156 0.127823 974,F,,974,0.445585,0.181725,0.224846,0.648871,0.127823,0.0102669,0.0533881,0.223306,0.0841889
0.6,0.2,T,0.1,138,0.1,0.8,31,0.2,6.0,0.03,31,0.641117 0.851003 0.109599 698,F,,698,0.431232,0.144699,0.275072,0.641117,0.109599,0.0114613,0.0515759,0.249284,0.0859599
0.6,0.2,T,0.1,154,0.1,0.8,32,0.2,6.0,0.03,32,0.619785 0.864065 0.102961 743,F,,743,0.375505,0.142665,0.345895,0.619785,0.102961,0.00672948,0.0497981,0.277254,0.0794078
0.6,0.2,T,0.1,101,0.1,0.8,33,0.2,6.0,0.03,33,0.648248 0.874663 0.144879 742,F,,742,0.421833,0.184636,0.268194,0.648248,0.144879,0.0134771,0.0781671,0.206873,0.0336927
0.6,0.2,T,0.1,56,0.1,0.8,34,0.2,6.0,0.03,34,0.711765 0.927451 0.15 510,F,,510,0.496078,0.22549,0.205882,0.711765,0.15,0.0235294,0.027451,0.138235,0.0215686
0.6,0.2,T,0.1,29,0.1,0.8,35,0.2,6.0,0.03,35,0.779687 0.95 0.121875 320,F,,320,0.609375,0.184375,0.15625,0.779687,0.121875,0.0125,0.034375,0.0984375,0.003125
