Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29364,0.1,0.8,0,0.2,6.0,0.03,,0.0472774 0.0945548 0.0 58749,F,,58749,0.0,0.0,0.0945548,0.0472774,0.0,0.0,0.0,0.952723,0.905445
0.6,0.2,T,0.1,25582,0.1,0.8,1,0.2,6.0,0.03,,0.0682266 0.131942 0.0129269 52758,F,,52758,0.00451116,0.00688047,0.12055,0.0682266,0.0129269,0.000663406,0.0176466,0.918846,0.849748
0.6,0.2,T,0.1,23872,0.1,0.8,2,0.2,6.0,0.03,,0.0908246 0.173243 0.0218458 50559,F,,50559,0.00840602,0.0109773,0.15386,0.0908246,0.0218458,0.00162187,0.0294705,0.88733,0.795664
0.6,0.2,T,0.1,22075,0.1,0.8,3,0.2,6.0,0.03,,0.123002 0.230144 0.0320232 47731,F,,47731,0.0158597,0.0156712,0.198613,0.123002,0.0320232,0.00203222,0.0443108,0.844975,0.723513
0.6,0.2,T,0.1,20931,0.1,0.8,4,0.2,6.0,0.03,4,0.159219 0.293614 0.0434311 46568,F,,46568,0.0248239,0.0219464,0.246843,0.159219,0.0434311,0.00240509,0.0601057,0.79735,0.643876
0.6,0.2,T,0.1,18875,0.1,0.8,5,0.2,6.0,0.03,5,0.212017 0.377238 0.0555593 44619,F,,44619,0.0467962,0.0331921,0.29725,0.212017,0.0555593,0.0033618,0.0712029,0.732423,0.548197
0.6,0.2,T,0.1,16208,0.1,0.8,6,0.2,6.0,0.03,6,0.27123 0.466686 0.0705633 40779,F,,40779,0.0757743,0.0472057,0.343706,0.27123,0.0705633,0.00595895,0.082003,0.658206,0.445352
0.6,0.2,T,0.1,13323,0.1,0.8,7,0.2,6.0,0.03,7,0.336286 0.558357 0.0858917 36808,F,,36808,0.114214,0.0661541,0.377988,0.336286,0.0858917,0.00627581,0.0930776,0.577823,0.34229
0.6,0.2,T,0.1,10429,0.1,0.8,8,0.2,6.0,0.03,8,0.410495 0.651126 0.0952822 32367,F,,32367,0.169864,0.0853029,0.395959,0.410495,0.0952822,0.00886706,0.0875274,0.494223,0.252479
0.6,0.2,T,0.1,7775,0.1,0.8,9,0.2,6.0,0.03,9,0.482485 0.731995 0.105942 27548,F,,27548,0.232975,0.105561,0.393459,0.482485,0.105942,0.00965587,0.0870118,0.411573,0.171337
0.6,0.2,T,0.1,5312,0.1,0.8,10,0.2,6.0,0.03,10,0.556502 0.799084 0.118375 22716,F,,22716,0.31392,0.133298,0.351867,0.556502,0.118375,0.0117979,0.0798556,0.325123,0.109262
0.6,0.2,T,0.1,3350,0.1,0.8,11,0.2,6.0,0.03,11,0.619714 0.854818 0.127084 17571,F,,17571,0.384611,0.15998,0.310227,0.619714,0.127084,0.0151955,0.0637983,0.253201,0.0661886
0.6,0.2,T,0.1,1983,0.1,0.8,12,0.2,6.0,0.03,12,0.667978 0.887183 0.12836 12835,F,,12835,0.448773,0.169303,0.269108,0.667978,0.12836,0.0151149,0.0571874,0.203662,0.0405142
0.6,0.2,T,0.1,1187,0.1,0.8,13,0.2,6.0,0.03,13,0.697803 0.90903 0.130575 9014,F,,9014,0.486576,0.181274,0.24118,0.697803,0.130575,0.0160861,0.0477036,0.171622,0.0271799
0.6,0.2,T,0.1,584,0.1,0.8,14,0.2,6.0,0.03,14,0.733247 0.92317 0.134798 5805,F,,5805,0.543325,0.19845,0.181395,0.733247,0.134798,0.0144703,0.042205,0.131955,0.020155
0.6,0.2,T,0.1,358,0.1,0.8,15,0.2,6.0,0.03,15,0.72605 0.911756 0.138108 3309,F,,3309,0.540345,0.192203,0.179208,0.72605,0.138108,0.0196434,0.0447265,0.135842,0.0238743
0.6,0.2,T,0.1,229,0.1,0.8,16,0.2,6.0,0.03,16,0.73268 0.924339 0.128077 2194,F,,2194,0.541021,0.184594,0.198724,0.73268,0.128077,0.015041,0.0414768,0.139243,0.0191431
0.6,0.2,T,0.1,135,0.1,0.8,17,0.2,6.0,0.03,17,0.760054 0.932306 0.12433 1492,F,,1492,0.587802,0.180965,0.163539,0.760054,0.12433,0.016756,0.0341823,0.115617,0.016756
0.6,0.2,T,0.1,78,0.1,0.8,18,0.2,6.0,0.03,18,0.745385 0.932682 0.138436 921,F,,921,0.558089,0.216069,0.158523,0.745385,0.138436,0.0152009,0.0304017,0.116178,0.0217155
0.6,0.2,T,0.1,41,0.1,0.8,19,0.2,6.0,0.03,19,0.700525 0.872154 0.160245 571,F,,571,0.528897,0.222417,0.120841,0.700525,0.160245,0.0157618,0.0665499,0.139229,0.0455342
