Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29424,0.1,0.8,0,0.2,6.0,0.03,,0.0468863 0.0937727 0.0 59239,F,,59239,0.0,0.0,0.0937727,0.0468863,0.0,0.0,0.0,0.953114,0.906227
0.6,0.2,T,0.1,25634,0.1,0.8,1,0.2,6.0,0.03,,0.0679002 0.131234 0.0123825 52776,F,,52776,0.00456647,0.00655601,0.120111,0.0679002,0.0123825,0.000738972,0.0167311,0.919717,0.851296
0.6,0.2,T,0.1,24115,0.1,0.8,2,0.2,6.0,0.03,,0.0941763 0.178951 0.0225038 50947,F,,50947,0.00940193,0.0108348,0.158714,0.0941763,0.0225038,0.00121695,0.0317389,0.88332,0.788094
0.6,0.2,T,0.1,22259,0.1,0.8,3,0.2,6.0,0.03,,0.125624 0.235556 0.030805 48239,F,,48239,0.0156927,0.0149464,0.204917,0.125624,0.030805,0.00153403,0.0435954,0.843571,0.719314
0.6,0.2,T,0.1,20625,0.1,0.8,4,0.2,6.0,0.03,4,0.168216 0.306737 0.0416371 46473,F,,46473,0.0296947,0.0234114,0.253631,0.168216,0.0416371,0.00238848,0.0550857,0.790147,0.635789
0.6,0.2,T,0.1,18572,0.1,0.8,5,0.2,6.0,0.03,5,0.218503 0.389168 0.0543795 43647,F,,43647,0.0478383,0.0333356,0.307994,0.218503,0.0543795,0.00327628,0.0688707,0.727118,0.538685
0.6,0.2,T,0.1,16089,0.1,0.8,6,0.2,6.0,0.03,6,0.282208 0.483774 0.0703811 40984,F,,40984,0.0806412,0.0496779,0.353455,0.282208,0.0703811,0.00524595,0.0805924,0.647411,0.430387
0.6,0.2,T,0.1,13082,0.1,0.8,7,0.2,6.0,0.03,7,0.354634 0.581599 0.0812019 36477,F,,36477,0.127669,0.0680155,0.385914,0.354634,0.0812019,0.0060312,0.0823258,0.564164,0.330044
0.6,0.2,T,0.1,10136,0.1,0.8,8,0.2,6.0,0.03,8,0.428195 0.667473 0.0955887 31850,F,,31850,0.188917,0.0902669,0.388289,0.428195,0.0955887,0.00897959,0.0829513,0.476217,0.240597
0.6,0.2,T,0.1,7297,0.1,0.8,9,0.2,6.0,0.03,9,0.499906 0.746506 0.103625 26620,F,,26620,0.253306,0.104921,0.388279,0.499906,0.103625,0.00972953,0.08287,0.396469,0.160894
0.6,0.2,T,0.1,4682,0.1,0.8,10,0.2,6.0,0.03,10,0.573337 0.812126 0.120095 21408,F,,21408,0.334548,0.13892,0.338658,0.573337,0.120095,0.0130325,0.0752055,0.306568,0.0996357
0.6,0.2,T,0.1,2866,0.1,0.8,11,0.2,6.0,0.03,11,0.626317 0.859763 0.124561 15374,F,,15374,0.392871,0.157083,0.309809,0.626317,0.124561,0.0123585,0.0673215,0.249122,0.0605568
0.6,0.2,T,0.1,1808,0.1,0.8,12,0.2,6.0,0.03,12,0.678333 0.891795 0.122949 11700,F,,11700,0.464872,0.167179,0.259744,0.678333,0.122949,0.0153846,0.0479487,0.198718,0.0448718
0.6,0.2,T,0.1,1128,0.1,0.8,13,0.2,6.0,0.03,13,0.696023 0.906003 0.123765 8096,F,,8096,0.486042,0.175025,0.244936,0.696023,0.123765,0.0132164,0.0460721,0.180212,0.0347085
0.6,0.2,T,0.1,709,0.1,0.8,14,0.2,6.0,0.03,14,0.728209 0.921641 0.118331 5679,F,,5679,0.534777,0.173622,0.213242,0.728209,0.118331,0.0130305,0.0369783,0.15346,0.0283501
0.6,0.2,T,0.1,431,0.1,0.8,15,0.2,6.0,0.03,15,0.725309 0.914095 0.123071 3888,F,,3888,0.536523,0.173611,0.203961,0.725309,0.123071,0.0185185,0.0354938,0.15162,0.031893
0.6,0.2,T,0.1,298,0.1,0.8,16,0.2,6.0,0.03,16,0.715634 0.894132 0.116947 2437,F,,2437,0.537136,0.159212,0.197784,0.715634,0.116947,0.0139516,0.0467788,0.167419,0.0451375
0.6,0.2,T,0.1,264,0.1,0.8,17,0.2,6.0,0.03,17,0.683371 0.8729 0.114502 1786,F,,1786,0.493841,0.157335,0.221725,0.683371,0.114502,0.0128779,0.0459127,0.202128,0.0683091
0.6,0.2,T,0.1,289,0.1,0.8,18,0.2,6.0,0.03,18,0.622636 0.812081 0.11745 1639,F,,1639,0.433191,0.147651,0.231239,0.622636,0.11745,0.0134228,0.0604027,0.259915,0.114094
0.6,0.2,T,0.1,366,0.1,0.8,19,0.2,6.0,0.03,19,0.534751 0.718993 0.106052 1669,F,,1669,0.350509,0.131216,0.237268,0.534751,0.106052,0.0143799,0.052127,0.359197,0.2145
0.6,0.2,T,0.1,500,0.1,0.8,20,0.2,6.0,0.03,20,0.453003 0.636819 0.083426 1798,F,,1798,0.269188,0.0956618,0.271969,0.453003,0.083426,0.00611791,0.0589544,0.463571,0.298109
0.6,0.2,T,0.1,737,0.1,0.8,21,0.2,6.0,0.03,21,0.393784 0.575134 0.0766995 2236,F,,2236,0.212433,0.0809481,0.281753,0.393784,0.0766995,0.00894454,0.0545617,0.529517,0.36136
0.6,0.2,T,0.1,938,0.1,0.8,22,0.2,6.0,0.03,22,0.340043 0.536516 0.0888849 2807,F,,2807,0.14357,0.0936943,0.299252,0.340043,0.0888849,0.00641254,0.0712504,0.571072,0.385821
0.6,0.2,T,0.1,1088,0.1,0.8,23,0.2,6.0,0.03,23,0.362966 0.566635 0.0874882 3189,F,,3189,0.159298,0.0840389,0.323299,0.362966,0.0874882,0.00783945,0.0752587,0.549545,0.350267
0.6,0.2,T,0.1,1171,0.1,0.8,24,0.2,6.0,0.03,24,0.400405 0.619973 0.0948718 3705,F,,3705,0.180837,0.0874494,0.351687,0.400405,0.0948718,0.0102564,0.0817814,0.504723,0.287989
0.6,0.2,T,0.1,1134,0.1,0.8,25,0.2,6.0,0.03,25,0.449843 0.679151 0.0946831 3818,F,,3818,0.220534,0.0914091,0.367208,0.449843,0.0946831,0.00942902,0.079099,0.455474,0.232321
0.6,0.2,T,0.1,1094,0.1,0.8,26,0.2,6.0,0.03,26,0.491148 0.722208 0.0986722 3841,F,,3841,0.260089,0.102057,0.360062,0.491148,0.0986722,0.00885186,0.077584,0.41018,0.191356
0.6,0.2,T,0.1,1010,0.1,0.8,27,0.2,6.0,0.03,27,0.544632 0.77672 0.109379 4201,F,,4201,0.312545,0.123066,0.341109,0.544632,0.109379,0.0147584,0.0661747,0.345989,0.142347
0.6,0.2,T,0.1,814,0.1,0.8,28,0.2,6.0,0.03,28,0.577435 0.80149 0.112693 3758,F,,3758,0.353379,0.135977,0.312134,0.577435,0.112693,0.010644,0.0681213,0.309872,0.119745
0.6,0.2,T,0.1,681,0.1,0.8,29,0.2,6.0,0.03,29,0.582232 0.802644 0.125423 3253,F,,3253,0.36182,0.155549,0.285275,0.582232,0.125423,0.0141408,0.0670151,0.292346,0.1162
0.6,0.2,T,0.1,698,0.1,0.8,30,0.2,6.0,0.03,30,0.571024 0.794646 0.116063 3175,F,,3175,0.347402,0.136693,0.310551,0.571024,0.116063,0.0122835,0.0708661,0.312913,0.122205
0.6,0.2,T,0.1,637,0.1,0.8,31,0.2,6.0,0.03,31,0.584768 0.793439 0.108477 3079,F,,3079,0.376096,0.132186,0.285158,0.584768,0.108477,0.0113673,0.0620331,0.306755,0.13316
0.6,0.2,T,0.1,734,0.1,0.8,32,0.2,6.0,0.03,32,0.52929 0.733977 0.0980358 2902,F,,2902,0.324604,0.110958,0.298415,0.52929,0.0980358,0.0103377,0.0644383,0.372674,0.191247
0.6,0.2,T,0.1,801,0.1,0.8,33,0.2,6.0,0.03,33,0.504217 0.710996 0.0971456 3083,F,,3083,0.297438,0.115472,0.298086,0.504217,0.0971456,0.00778463,0.0632501,0.398638,0.21797
0.6,0.2,T,0.1,950,0.1,0.8,34,0.2,6.0,0.03,34,0.467814 0.676048 0.0956587 3340,F,,3340,0.259581,0.111976,0.304491,0.467814,0.0956587,0.010479,0.0583832,0.436527,0.25509
0.6,0.2,T,0.1,1112,0.1,0.8,35,0.2,6.0,0.03,35,0.449534 0.652996 0.0909454 3755,F,,3755,0.246072,0.0926764,0.314248,0.449534,0.0909454,0.0103862,0.0684421,0.459521,0.268176
0.6,0.2,T,0.1,1197,0.1,0.8,36,0.2,6.0,0.03,36,0.429135 0.619177 0.0851614 4057,F,,4057,0.239093,0.10106,0.279024,0.429135,0.0851614,0.00961301,0.050037,0.485704,0.321173
0.6,0.2,T,0.1,1463,0.1,0.8,37,0.2,6.0,0.03,37,0.385504 0.577264 0.076564 4284,F,,4284,0.193744,0.0760971,0.307423,0.385504,0.076564,0.00887021,0.0592904,0.537932,0.354575
0.6,0.2,T,0.1,1685,0.1,0.8,38,0.2,6.0,0.03,38,0.416998 0.612848 0.0814857 5277,F,,5277,0.221148,0.0860337,0.305666,0.416998,0.0814857,0.00606405,0.0648096,0.501516,0.316278
0.6,0.2,T,0.1,1704,0.1,0.8,39,0.2,6.0,0.03,39,0.403743 0.602742 0.087456 5397,F,,5397,0.204743,0.0946822,0.303317,0.403743,0.087456,0.00796739,0.064295,0.508801,0.324995
0.6,0.2,T,0.1,1530,0.1,0.8,40,0.2,6.0,0.03,40,0.436724 0.621804 0.0927684 5476,F,,5476,0.251644,0.0986121,0.271549,0.436724,0.0927684,0.0102264,0.0664719,0.470508,0.301497
0.6,0.2,T,0.1,1455,0.1,0.8,41,0.2,6.0,0.03,41,0.425035 0.61083 0.0839564 4949,F,,4949,0.23924,0.0915336,0.280057,0.425035,0.0839564,0.00909275,0.0581936,0.491008,0.321883
0.6,0.2,T,0.1,1250,0.1,0.8,42,0.2,6.0,0.03,42,0.454724 0.641707 0.0908794 4594,F,,4594,0.267741,0.101001,0.272965,0.454724,0.0908794,0.00957771,0.0616021,0.454397,0.287114
0.6,0.2,T,0.1,1260,0.1,0.8,43,0.2,6.0,0.03,43,0.454577 0.632504 0.0943848 4381,F,,4381,0.276649,0.102031,0.253823,0.454577,0.0943848,0.0104999,0.0657384,0.451039,0.291258
0.6,0.2,T,0.1,1235,0.1,0.8,44,0.2,6.0,0.03,44,0.431287 0.609162 0.0796784 4104,F,,4104,0.253411,0.0867446,0.269006,0.431287,0.0796784,0.0082846,0.0560429,0.489035,0.326511
0.6,0.2,T,0.1,1112,0.1,0.8,45,0.2,6.0,0.03,45,0.444188 0.637413 0.0863485 3897,F,,3897,0.250962,0.0939184,0.292533,0.444188,0.0863485,0.00949448,0.0597896,0.469464,0.293303
0.6,0.2,T,0.1,917,0.1,0.8,46,0.2,6.0,0.03,46,0.470355 0.674326 0.105248 3525,F,,3525,0.266383,0.120851,0.287092,0.470355,0.105248,0.0116312,0.066383,0.424397,0.24766
0.6,0.2,T,0.1,736,0.1,0.8,47,0.2,6.0,0.03,47,0.489591 0.694185 0.105707 2786,F,,2786,0.284996,0.113783,0.295406,0.489591,0.105707,0.0175879,0.0624551,0.404702,0.225772
0.6,0.2,T,0.1,569,0.1,0.8,48,0.2,6.0,0.03,48,0.518067 0.729832 0.111134 2380,F,,2380,0.306303,0.135294,0.288235,0.518067,0.111134,0.0105042,0.0659664,0.370798,0.193697
0.6,0.2,T,0.1,390,0.1,0.8,49,0.2,6.0,0.03,49,0.526743 0.738582 0.121394 1664,F,,1664,0.314904,0.140024,0.283654,0.526743,0.121394,0.0144231,0.0739183,0.351863,0.173077
0.6,0.2,T,0.1,380,0.1,0.8,50,0.2,6.0,0.03,50,0.54 0.785763 0.124407 1475,F,,1475,0.294237,0.154576,0.336949,0.54,0.124407,0.0122034,0.0698305,0.335593,0.132203
0.6,0.2,T,0.1,252,0.1,0.8,51,0.2,6.0,0.03,51,0.608817 0.844647 0.129811 1429,F,,1429,0.372988,0.171449,0.30021,0.608817,0.129811,0.0118964,0.0643807,0.261372,0.0790763
0.6,0.2,T,0.1,168,0.1,0.8,52,0.2,6.0,0.03,52,0.619464 0.84552 0.130793 971,F,,971,0.393409,0.174047,0.278064,0.619464,0.130793,0.0123584,0.0628218,0.249743,0.0792997
0.6,0.2,T,0.1,151,0.1,0.8,53,0.2,6.0,0.03,53,0.63101 0.854567 0.11899 832,F,,832,0.407452,0.152644,0.294471,0.63101,0.11899,0.0120192,0.0612981,0.25,0.0721154
0.6,0.2,T,0.1,116,0.1,0.8,54,0.2,6.0,0.03,54,0.642857 0.857143 0.11617 637,F,,637,0.428571,0.144427,0.284144,0.642857,0.11617,0.0125589,0.0627943,0.240973,0.0675039
