Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29580,0.1,0.8,0,0.2,6.0,0.03,,0.0469783 0.0939567 0.0 59123,F,,59123,0.0,0.0,0.0939567,0.0469783,0.0,0.0,0.0,0.953022,0.906043
0.6,0.2,T,0.1,25601,0.1,0.8,1,0.2,6.0,0.03,,0.0680259 0.130969 0.0121502 52921,F,,52921,0.00508305,0.00670811,0.119178,0.0680259,0.0121502,0.00077474,0.0160428,0.919824,0.852214
0.6,0.2,T,0.1,23581,0.1,0.8,2,0.2,6.0,0.03,,0.0934434 0.178913 0.0227214 50041,F,,50041,0.00797346,0.0105713,0.160368,0.0934434,0.0227214,0.00115905,0.0325533,0.883835,0.787374
0.6,0.2,T,0.1,22391,0.1,0.8,3,0.2,6.0,0.03,,0.12751 0.239173 0.0332367 48651,F,,48651,0.0158476,0.0161148,0.207211,0.12751,0.0332367,0.00197324,0.0464122,0.839253,0.712442
0.6,0.2,T,0.1,20352,0.1,0.8,4,0.2,6.0,0.03,4,0.171344 0.311548 0.0434251 45826,F,,45826,0.0311395,0.0229564,0.257452,0.171344,0.0434251,0.00270589,0.0584821,0.785231,0.627264
0.6,0.2,T,0.1,18783,0.1,0.8,5,0.2,6.0,0.03,5,0.222516 0.397053 0.0543765 43916,F,,43916,0.047978,0.0337918,0.315284,0.222516,0.0543765,0.00382549,0.0673103,0.723108,0.531811
0.6,0.2,T,0.1,16096,0.1,0.8,6,0.2,6.0,0.03,6,0.287813 0.49041 0.0711956 41084,F,,41084,0.0852157,0.051772,0.353422,0.287813,0.0711956,0.00477071,0.0810778,0.640992,0.423742
0.6,0.2,T,0.1,12730,0.1,0.8,7,0.2,6.0,0.03,7,0.360172 0.588809 0.0845382 36173,F,,36173,0.131535,0.069914,0.387361,0.360172,0.0845382,0.00646891,0.0862245,0.55529,0.318497
0.6,0.2,T,0.1,9512,0.1,0.8,8,0.2,6.0,0.03,8,0.438467 0.679995 0.0981805 31162,F,,31162,0.196939,0.0904627,0.392594,0.438467,0.0981805,0.00840768,0.0890829,0.463353,0.222515
0.6,0.2,T,0.1,6682,0.1,0.8,9,0.2,6.0,0.03,9,0.508452 0.754285 0.106451 25143,F,,25143,0.262618,0.110607,0.38106,0.508452,0.106451,0.0107783,0.0807382,0.385097,0.154198
0.6,0.2,T,0.1,4522,0.1,0.8,10,0.2,6.0,0.03,10,0.576461 0.820703 0.118255 20625,F,,20625,0.332218,0.136242,0.352242,0.576461,0.118255,0.0132364,0.0737939,0.305285,0.0922667
0.6,0.2,T,0.1,2865,0.1,0.8,11,0.2,6.0,0.03,11,0.640072 0.864991 0.119216 15799,F,,15799,0.415153,0.152668,0.297171,0.640072,0.119216,0.0127856,0.0601937,0.240711,0.0620292
0.6,0.2,T,0.1,1682,0.1,0.8,12,0.2,6.0,0.03,12,0.680179 0.895903 0.125197 11422,F,,11422,0.464455,0.172474,0.258974,0.680179,0.125197,0.0142707,0.0493784,0.194624,0.0404483
0.6,0.2,T,0.1,904,0.1,0.8,13,0.2,6.0,0.03,13,0.708548 0.908839 0.130202 7569,F,,7569,0.508257,0.187211,0.21337,0.708548,0.130202,0.0151936,0.0428062,0.16125,0.0331616
0.6,0.2,T,0.1,579,0.1,0.8,14,0.2,6.0,0.03,14,0.718564 0.916685 0.122652 4525,F,,4525,0.520442,0.181657,0.214586,0.718564,0.122652,0.0123757,0.038895,0.158785,0.0320442
0.6,0.2,T,0.1,465,0.1,0.8,15,0.2,6.0,0.03,15,0.71553 0.888244 0.10479 3445,F,,3445,0.542816,0.141655,0.203774,0.71553,0.10479,0.0104499,0.0470247,0.179681,0.0542816
0.6,0.2,T,0.1,473,0.1,0.8,16,0.2,6.0,0.03,16,0.673346 0.879412 0.113235 2720,F,,2720,0.467279,0.153676,0.258456,0.673346,0.113235,0.0143382,0.0441176,0.213419,0.0621324
0.6,0.2,T,0.1,391,0.1,0.8,17,0.2,6.0,0.03,17,0.647013 0.858258 0.126513 2561,F,,2561,0.435767,0.15697,0.265521,0.647013,0.126513,0.0152284,0.0655994,0.226474,0.0609137
0.6,0.2,T,0.1,306,0.1,0.8,18,0.2,6.0,0.03,18,0.635547 0.848228 0.134299 2003,F,,2003,0.422866,0.181228,0.244134,0.635547,0.134299,0.0124813,0.0624064,0.230155,0.0768847
0.6,0.2,T,0.1,278,0.1,0.8,19,0.2,6.0,0.03,19,0.635535 0.861635 0.113208 1590,F,,1590,0.409434,0.158491,0.293711,0.635535,0.113208,0.00754717,0.0528302,0.251258,0.0779874
0.6,0.2,T,0.1,276,0.1,0.8,20,0.2,6.0,0.03,20,0.651838 0.876854 0.118633 1551,F,,1551,0.426821,0.163765,0.286267,0.651838,0.118633,0.0128949,0.0477112,0.229529,0.0625403
0.6,0.2,T,0.1,220,0.1,0.8,21,0.2,6.0,0.03,21,0.693581 0.906757 0.11723 1480,F,,1480,0.480405,0.170946,0.255405,0.693581,0.11723,0.00878378,0.0459459,0.189189,0.0385135
0.6,0.2,T,0.1,110,0.1,0.8,22,0.2,6.0,0.03,22,0.734288 0.906654 0.115065 1082,F,,1082,0.561922,0.162662,0.18207,0.734288,0.115065,0.0120148,0.0434381,0.150647,0.0378928
0.6,0.2,T,0.1,107,0.1,0.8,23,0.2,6.0,0.03,23,0.665008 0.885572 0.115257 603,F,,603,0.444444,0.155887,0.28524,0.665008,0.115257,0.0116086,0.0514096,0.219735,0.0514096
0.6,0.2,T,0.1,126,0.1,0.8,24,0.2,6.0,0.03,24,0.674839 0.889032 0.138065 775,F,,775,0.460645,0.202581,0.225806,0.674839,0.138065,0.0219355,0.0296774,0.187097,0.0593548
