Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POP_PERSISTS,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,1026,0.1,0.8,23,0.2,6.0,0.03,,23,0.026465 0.0311909 0.00330813 2116,F,2116,0.0217391,0.0047259,0.0047259,0.026465,0.00330813,0.00094518,0.0,0.970227,0.967864
0.6,0.2,T,0.1,1454,0.1,0.8,24,0.2,6.0,0.03,,24,0.0182603 0.0212483 0.00215803 3012,F,3012,0.0152722,0.00332005,0.00265604,0.0182603,0.00215803,0.000332005,0.000332005,0.979582,0.978088
0.6,0.2,T,0.1,1935,0.1,0.8,25,0.2,6.0,0.03,,25,0.00418822 0.00517369 0.00110865 4059,F,4059,0.00320276,0.00197093,0.0,0.00418822,0.00110865,0.0,0.000246366,0.994703,0.99458
0.6,0.2,T,0.1,2688,0.1,0.8,26,0.2,6.0,0.03,,26,0.0 0.0 0.0 5358,F,5358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,3557,0.1,0.8,27,0.2,6.0,0.03,,27,0.0 0.0 0.0 7133,F,7133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,4414,0.1,0.8,28,0.2,6.0,0.03,,28,0.0 0.0 0.0 8774,F,8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,5304,0.1,0.8,29,0.2,6.0,0.03,,29,0.0 0.0 0.0 10694,F,10694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,6026,0.1,0.8,30,0.2,6.0,0.03,,30,0.0 0.0 0.0 11948,F,11948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,7118,0.1,0.8,31,0.2,6.0,0.03,,31,0.0 0.0 0.0 14313,F,14313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,8318,0.1,0.8,32,0.2,6.0,0.03,,32,0.0 0.0 0.0 16659,F,16659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,9282,0.1,0.8,33,0.2,6.0,0.03,,33,0.0 0.0 0.0 18616,F,18616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,10306,0.1,0.8,34,0.2,6.0,0.03,,34,0.0 0.0 0.0 20809,F,20809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,11279,0.1,0.8,35,0.2,6.0,0.03,,35,0.0 0.0 0.0 22657,F,22657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,12661,0.1,0.8,36,0.2,6.0,0.03,,36,0.0 0.0 0.0 25345,F,25345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6,0.2,T,0.1,13835,0.1,0.8,37,0.2,6.0,0.03,37,37,0.0 0.0 0.0 27780,F,27780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
