Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29331,0.1,0.8,0,0.2,6.0,0.03,,0.047312 0.0946241 0.0 58706,F,,58706,0.0,0.0,0.0946241,0.047312,0.0,0.0,0.0,0.952688,0.905376
0.6,0.2,T,0.1,25725,0.1,0.8,1,0.2,6.0,0.03,,0.0691545 0.134052 0.0122636 53084,F,,53084,0.0042574,0.00727149,0.122523,0.0691545,0.0122636,0.000734685,0.0157863,0.918582,0.849427
0.6,0.2,T,0.1,23902,0.1,0.8,2,0.2,6.0,0.03,,0.0947612 0.180232 0.0237027 50374,F,,50374,0.00929051,0.0105014,0.16044,0.0947612,0.0237027,0.00160797,0.033688,0.881536,0.784472
0.6,0.2,T,0.1,22354,0.1,0.8,3,0.2,6.0,0.03,,0.128451 0.240292 0.0322185 48466,F,,48466,0.0166096,0.0160319,0.207651,0.128451,0.0322185,0.00179507,0.0448149,0.839331,0.713098
0.6,0.2,T,0.1,20317,0.1,0.8,4,0.2,6.0,0.03,4,0.171504 0.311436 0.0427003 46276,F,,46276,0.0315714,0.0238785,0.255986,0.171504,0.0427003,0.00233382,0.0568545,0.785796,0.629376
0.6,0.2,T,0.1,17907,0.1,0.8,5,0.2,6.0,0.03,5,0.226295 0.400751 0.0554435 43134,F,,43134,0.0518385,0.0352854,0.313627,0.226295,0.0554435,0.00347754,0.0686465,0.718262,0.527125
0.6,0.2,T,0.1,15684,0.1,0.8,6,0.2,6.0,0.03,6,0.289935 0.492906 0.0702393 39821,F,,39821,0.0869642,0.0482911,0.35765,0.289935,0.0702393,0.00590141,0.0803847,0.639826,0.420808
0.6,0.2,T,0.1,12586,0.1,0.8,7,0.2,6.0,0.03,7,0.363142 0.592512 0.0860085 35979,F,,35979,0.133772,0.0696239,0.389116,0.363142,0.0860085,0.00764335,0.0871064,0.550849,0.312738
0.6,0.2,T,0.1,9424,0.1,0.8,8,0.2,6.0,0.03,8,0.438986 0.679857 0.100746 31083,F,,31083,0.198115,0.0944889,0.387253,0.438986,0.100746,0.00846122,0.0900814,0.460268,0.2216
0.6,0.2,T,0.1,6794,0.1,0.8,9,0.2,6.0,0.03,9,0.508631 0.756287 0.109675 25489,F,,25489,0.260975,0.114167,0.381145,0.508631,0.109675,0.0117698,0.0816431,0.381694,0.1503
0.6,0.2,T,0.1,4349,0.1,0.8,10,0.2,6.0,0.03,10,0.581522 0.81629 0.118883 20516,F,,20516,0.346754,0.131702,0.337834,0.581522,0.118883,0.0127705,0.0805225,0.299595,0.0904172
