radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,F,T,0,0,1,0,0,455,0,0,0,0,0,12,7940,443,1624
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,F,T,0,0,1,0,0,507,0,0,0,0,0,12,8126,495,2023
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,F,T,0,0,1,0,0,194,0,0,0,0,0,12,7127,182,1489
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.553399,0.797455,0.231526,7781,1486,14,9389,986,2130
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,305,0,0,0,0,0,15,7677,290,1658
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,169,0,0,0,0,0,13,8591,156,1845
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,316,0,0,0,0,0,12,8931,304,1914
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,53,0,0,0,0,0,15,2964,38,483
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,670,0,1,0,0,0,12,9715,659,2364
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,852,0,0,0,0,0,13,8823,839,2018
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,833,0,0,0,0,0,14,9236,819,2219
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.17598,0.295196,0.132698,50807,21800,13,10507,987,2665
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.526096,0.75261,0.21738,9580,2120,13,10226,987,2554
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.716641,0.905416,0.16562,2548,297,14,11541,986,3038
