radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,200,0,0,0,0,27,21509,173,5678
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,71,0,0,0,0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,76,0,0,0,0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,122,0,0,0,0,12,27198,110,8418
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,68,0,0,0,0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,65,0,0,0,0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,635,0,0,0,0,8,19522,627,5187
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,247,0,0,0,0,10,19412,237,5318
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,125,0,0,0,0,16,29911,109,8929
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,138,0,0,0,0,12,25466,126,7656
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,79,0,0,0,0,9,41748,70,14282
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,69,0,0,0,0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,0,0,0,0
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,213,0,0,0,0,9,21288,204,6369
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,70,0,0,0,0,13,37335,57,12146
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,100,0,0,0,0,11,34952,89,11975
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,70,0,0,0,0,8,40188,62,13830
0.2,0.1,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,320,0,1,0,0,8,19029,313,5285
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,200,0,1,0,0,12,16175,189,3856
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,122,0,0,0,0,7,20491,115,5451
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,204,0,0,0,0,11,24935,193,7374
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,59,0,0,0,0,7,28686,52,8398
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,60,0,1,0,0,22,12982,39,2931
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,58,0,0,0,0,14,22243,44,5877
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,57,0,0,0,0,8,30558,49,9062
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,92,0,0,0,0,8,22748,84,6062
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,64,0,0,0,0,29,4960,35,754
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,267,0,0,0,0,7,22247,260,6019
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,110,0,1,0,0,7,21576,104,5880
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,47,0,0,0,0,0,0,0,0
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.27147,0.467242,0.379703,4518,7,18180,993,4708
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,63,0.0,0.0,0.0,103447,7,34683,56,11853
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,53,0,0,0,0,0,0,0,0
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,48,0,0,0,0,0,0,0,0
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,189,0,0,0,0,10,24376,179,7019
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,293,0,0,0,0,10,18695,283,5439
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,209,0,0,0,0,18,11905,191,2412
0.2,0.15,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,415,0,0,0,0,14,17739,401,4226
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,644,0,0,0,0,7,26759,637,8293
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,582,0,0,0,0,9,19784,573,5790
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,107,0,0,0,0,7,16904,100,3932
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,72,0,0,0,0,34,6832,38,1062
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,244,0,0,0,0,31,12964,213,2693
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,133,0,0,0,0,9,21335,124,5293
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,256,0,0,0,0,38,9853,218,1759
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,41,0,0,0,0,0,0,0,0
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,62,0,0,0,0,14,10602,48,2460
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,42,0,0,0,0,0,0,0,0
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,188,0,0,0,0,9,13842,179,3047
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,136,0,0,0,0,8,17661,128,4227
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,133,0,0,0,0,9,13066,124,2851
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,43,0,0,0,0,0,0,0,0
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,98,0,0,0,0,13,20569,85,5036
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,232,0,0,0,0,12,27696,220,7926
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,87,0,0,0,0,22,13837,65,2990
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,53,0,0,0,0,9,16866,44,4045
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,45,0,0,0,0,10,17479,35,4250
0.2,0.2,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,204,0,0,0,0,11,20197,193,5234
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,69,0,0,0,0,28,11629,41,2108
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.19225,0.342941,0.283822,36359,11,24794,989,7617
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,70,0,0,0,0,9,14932,61,3253
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,295,0,0,0,0,26,15682,269,3668
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,254,0,0,0,0,11,16668,243,3801
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,35,0,0,0,0,0,0,0,0
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,72,0,0,0,0,30,6519,42,935
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,39,0,0,0,0,19,2980,20,498
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,37,0,0,0,0,0,0,0,0
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,40,0,1,0,0,33,1048,8,88
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,567,0,0,0,0,32,19141,535,5008
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,487,0,0,0,0,10,17388,477,4411
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,406,0,0,0,0,27,15488,379,3933
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,40,0,1,0,0,8,12810,33,2824
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,48,0.0,0.0,0.0,104322,10,32543,38,12763
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,119,0,0,0,0,10,11579,109,2355
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,194,0,0,0,0,28,13184,166,2712
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,133,0,0,0,0,10,19766,123,5074
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,290,0,1,0,0,26,13173,265,2710
0.2,0.25,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,130,0,0,0,0,9,17862,121,4256
